	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
ses_DET:POS_son	6.0	16.0	22.0	14.0	22.0	14.0	14.0	15.0	14.0	18.0	15.0	15.0	15.0	17.0	11.0	26.0	12.0	17.0	12.0	21.0	14.0	19.0	23.0	20.0	13.0	12.0	17.0	10.0	16.0	19.0	22.0	25.0	19.0	20.0	4.0	569.0
le_PRO:PER_le	10.0	13.0	6.0	4.0	17.0	15.0	11.0	17.0	15.0	16.0	14.0	9.0	19.0	11.0	21.0	26.0	28.0	16.0	9.0	15.0	10.0	24.0	13.0	22.0	14.0	16.0	17.0	10.0	21.0	14.0	24.0	22.0	39.0	14.0	7.0	559.0
plus_ADV_plus	9.0	11.0	7.0	21.0	19.0	21.0	16.0	15.0	12.0	11.0	9.0	11.0	21.0	10.0	20.0	13.0	21.0	13.0	19.0	21.0	14.0	15.0	15.0	18.0	16.0	10.0	11.0	11.0	21.0	19.0	16.0	19.0	20.0	21.0	6.0	532.0
était_VER:impf_être	9.0	21.0	21.0	20.0	20.0	13.0	15.0	18.0	13.0	5.0	14.0	15.0	21.0	16.0	21.0	22.0	15.0	14.0	20.0	12.0	11.0	8.0	12.0	17.0	14.0	10.0	15.0	9.0	13.0	11.0	18.0	18.0	14.0	18.0	12.0	525.0
Elle_PRO:PER_elle	5.0	10.0	18.0	24.0	14.0	9.0	11.0	13.0	14.0	10.0	13.0	4.0	22.0	15.0	10.0	32.0	11.0	17.0	16.0	27.0	19.0	11.0	18.0	20.0	15.0	17.0	13.0	9.0	18.0	7.0	26.0	17.0	13.0	12.0	9.0	519.0
:_PUN_:	15.0	25.0	11.0	19.0	20.0	13.0	12.0	19.0	11.0	14.0	9.0	16.0	9.0	4.0	12.0	8.0	10.0	8.0	12.0	11.0	22.0	19.0	17.0	17.0	17.0	11.0	8.0	11.0	23.0	13.0	16.0	11.0	16.0	22.0	25.0	506.0
je_PRO:PER_je	12.0	11.0	15.0	11.0	15.0	15.0	11.0	13.0	13.0	10.0	11.0	2.0	25.0	8.0	4.0	19.0	17.0	12.0	14.0	12.0	15.0	38.0	15.0	15.0	20.0	22.0	12.0	11.0	23.0	4.0	12.0	15.0	9.0	26.0	17.0	504.0
Et_KON_et	9.0	9.0	11.0	12.0	10.0	13.0	13.0	8.0	11.0	12.0	14.0	15.0	15.0	11.0	8.0	13.0	18.0	18.0	15.0	13.0	13.0	16.0	12.0	14.0	16.0	14.0	19.0	15.0	19.0	14.0	12.0	12.0	14.0	12.0	14.0	464.0
Mais_KON_mais	15.0	13.0	11.0	15.0	16.0	10.0	10.0	10.0	15.0	13.0	18.0	12.0	13.0	11.0	14.0	13.0	16.0	13.0	19.0	14.0	14.0	13.0	14.0	13.0	12.0	17.0	16.0	10.0	12.0	13.0	14.0	14.0	5.0	10.0	12.0	460.0
d’un_ADJ_d’un	15.0	12.0	14.0	17.0	16.0	15.0	4.0	14.0	11.0	9.0	18.0	10.0	8.0	14.0	16.0	16.0	17.0	5.0	14.0	11.0	15.0	7.0	19.0	13.0	11.0	12.0	14.0	10.0	14.0	9.0	21.0	8.0	11.0	11.0	18.0	449.0
la_PRO:PER_la	4.0	8.0	7.0	6.0	10.0	8.0	10.0	7.0	18.0	9.0	6.0	6.0	19.0	14.0	12.0	21.0	13.0	19.0	16.0	22.0	10.0	12.0	18.0	16.0	19.0	7.0	13.0	8.0	12.0	7.0	11.0	24.0	11.0	15.0	8.0	426.0
ça_PRO:DEM_cela	8.0	8.0	11.0	18.0	9.0	4.0	11.0	22.0	15.0	7.0	6.0	3.0	19.0	13.0	8.0	16.0	10.0	11.0	21.0	11.0	12.0	22.0	7.0	17.0	8.0	11.0	17.0	9.0	18.0	11.0	10.0	20.0	8.0	10.0	14.0	425.0
cette_PRO:DEM_ce	5.0	6.0	7.0	4.0	9.0	15.0	4.0	9.0	6.0	12.0	13.0	18.0	10.0	17.0	12.0	7.0	18.0	7.0	15.0	8.0	12.0	18.0	11.0	8.0	21.0	10.0	18.0	8.0	22.0	13.0	10.0	16.0	18.0	15.0	19.0	421.0
tout_ADV_tout	11.0	11.0	9.0	12.0	8.0	13.0	13.0	9.0	5.0	9.0	8.0	10.0	10.0	13.0	6.0	7.0	7.0	15.0	8.0	12.0	12.0	13.0	16.0	11.0	7.0	11.0	10.0	14.0	13.0	9.0	14.0	10.0	13.0	14.0	6.0	369.0
