	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
arm	86.0	13.0	113.0	212.0
really	76.0	9.0	127.0	212.0
open	102.0	11.0	99.0	212.0
point	63.0	10.0	137.0	210.0
hour	96.0	8.0	106.0	210.0
present	55.0	3.0	151.0	209.0
pretty	64.0	19.0	124.0	207.0
least	81.0	10.0	116.0	207.0
hard	75.0	14.0	118.0	207.0
table	53.0	7.0	146.0	206.0
along	92.0	7.0	105.0	204.0
things	82.0	18.0	103.0	203.0
taking	79.0	10.0	114.0	203.0
fellow	151.0	9.0	41.0	201.0
mean	81.0	9.0	110.0	200.0
rather	96.0	11.0	92.0	199.0
thing	83.0	11.0	104.0	198.0
nature	76.0	14.0	107.0	197.0
because	89.0	15.0	92.0	196.0
arms	76.0	9.0	110.0	195.0
tappertit	195.0	0.0	0.0	195.0
observed	46.0	10.0	139.0	195.0
matter	90.0	8.0	97.0	195.0
fell	94.0	11.0	90.0	195.0
smile	75.0	10.0	109.0	194.0
company	64.0	14.0	116.0	194.0
less	59.0	15.0	120.0	194.0
taken	92.0	8.0	94.0	194.0
get	99.0	5.0	90.0	194.0
half	84.0	19.0	90.0	193.0
does	72.0	3.0	117.0	192.0
answer	107.0	3.0	82.0	192.0
doubt	87.0	10.0	95.0	192.0
tears	60.0	8.0	122.0	190.0
next	66.0	8.0	116.0	190.0
nipper	0.0	0.0	190.0	190.0
since	63.0	8.0	118.0	189.0
ha	155.0	12.0	21.0	188.0
em	88.0	5.0	95.0	188.0
close	81.0	10.0	96.0	187.0
strong	109.0	6.0	72.0	187.0
called	84.0	14.0	89.0	187.0
lost	62.0	10.0	115.0	187.0
themselves	102.0	12.0	73.0	187.0
making	64.0	13.0	109.0	186.0
evening	55.0	11.0	118.0	184.0
ask	62.0	3.0	118.0	183.0
happy	50.0	17.0	115.0	182.0
work	89.0	11.0	82.0	182.0
however	68.0	6.0	107.0	181.0
turning	76.0	13.0	92.0	181.0
sitting	48.0	15.0	118.0	181.0
thoughts	70.0	10.0	100.0	180.0
lay	89.0	3.0	88.0	180.0
silence	110.0	4.0	65.0	179.0
end	92.0	7.0	80.0	179.0
gashford	179.0	0.0	0.0	179.0
chester	179.0	0.0	0.0	179.0
sol	0.0	0.0	179.0	179.0
spoke	91.0	6.0	81.0	178.0
person	86.0	4.0	87.0	177.0
honour	45.0	18.0	113.0	176.0
means	91.0	8.0	77.0	176.0
stopped	76.0	6.0	94.0	176.0
care	69.0	16.0	90.0	175.0
itself	52.0	10.0	113.0	175.0
purpose	77.0	9.0	88.0	174.0
please	50.0	12.0	111.0	173.0
small	83.0	13.0	77.0	173.0
yourself	70.0	4.0	97.0	171.0
cold	58.0	13.0	99.0	170.0
money	49.0	5.0	116.0	170.0
glad	59.0	7.0	104.0	170.0
subject	52.0	5.0	112.0	169.0
friends	94.0	2.0	73.0	169.0
skewton	0.0	0.0	169.0	169.0
crowd	149.0	2.0	17.0	168.0
turn	70.0	11.0	85.0	166.0
remember	68.0	3.0	95.0	166.0
brown	5.0	5.0	156.0	166.0
family	38.0	6.0	122.0	166.0
lips	64.0	5.0	96.0	165.0
everything	54.0	7.0	102.0	163.0
help	66.0	11.0	86.0	163.0
proud	41.0	1.0	121.0	163.0
general	51.0	13.0	98.0	162.0
business	66.0	3.0	93.0	162.0
black	57.0	2.0	101.0	160.0
lad	26.0	0.0	134.0	160.0
blind	82.0	57.0	21.0	160.0
known	79.0	6.0	75.0	160.0
true	59.0	11.0	89.0	159.0
breast	51.0	7.0	100.0	158.0
horse	97.0	17.0	44.0	158.0
corner	55.0	5.0	98.0	158.0
usual	63.0	6.0	88.0	157.0
reason	57.0	10.0	90.0	157.0
late	70.0	1.0	85.0	156.0
kept	77.0	5.0	74.0	156.0
deep	68.0	5.0	83.0	156.0
strange	68.0	8.0	80.0	156.0
gentlemen	59.0	5.0	91.0	155.0
chapter	87.0	0.0	68.0	155.0
bright	62.0	16.0	77.0	155.0
ca	62.0	17.0	75.0	154.0
glass	65.0	9.0	80.0	154.0
expression	53.0	7.0	94.0	154.0
certain	68.0	11.0	74.0	153.0
low	49.0	8.0	96.0	153.0
hardly	29.0	5.0	118.0	152.0
else	48.0	13.0	90.0	151.0
call	73.0	7.0	71.0	151.0
sight	67.0	10.0	74.0	151.0
wind	67.0	5.0	79.0	151.0
ma'am	31.0	0.0	120.0	151.0
shut	64.0	8.0	78.0	150.0
immediately	40.0	8.0	101.0	149.0
days	56.0	6.0	87.0	149.0
hair	47.0	11.0	91.0	149.0
heaven	69.0	13.0	67.0	149.0
show	49.0	10.0	90.0	149.0
bear	57.0	9.0	83.0	149.0
already	58.0	10.0	80.0	148.0
ay	59.0	0.0	89.0	148.0
polly	10.0	0.0	137.0	147.0
road	72.0	12.0	63.0	147.0
quiet	77.0	6.0	63.0	146.0
past	62.0	3.0	80.0	145.0
mine	64.0	13.0	68.0	145.0
figure	46.0	14.0	84.0	144.0
shook	56.0	7.0	81.0	144.0
've	59.0	11.0	73.0	143.0
added	81.0	2.0	60.0	143.0
girl	41.0	39.0	62.0	142.0
death	73.0	3.0	66.0	142.0
character	45.0	2.0	94.0	141.0
walked	70.0	6.0	65.0	141.0
richards	0.0	0.0	140.0	140.0
remained	61.0	4.0	75.0	140.0
sort	56.0	16.0	68.0	140.0
foot	67.0	9.0	64.0	140.0
change	38.0	6.0	96.0	140.0
read	46.0	5.0	88.0	139.0
understand	36.0	7.0	96.0	139.0
streets	90.0	0.0	49.0	139.0
wo	41.0	8.0	89.0	138.0
forth	53.0	3.0	82.0	138.0
length	78.0	3.0	57.0	138.0
truth	62.0	16.0	59.0	137.0
silent	67.0	6.0	64.0	137.0
thank	45.0	0.0	92.0	137.0
opened	59.0	3.0	74.0	136.0
high	60.0	8.0	68.0	136.0
shaking	56.0	2.0	78.0	136.0
duty	51.0	1.0	84.0	136.0
repeated	44.0	4.0	88.0	136.0
fear	64.0	9.0	62.0	135.0
god	65.0	3.0	67.0	135.0
drew	71.0	8.0	55.0	134.0
feet	66.0	7.0	61.0	134.0
laid	48.0	6.0	80.0	134.0
stand	63.0	3.0	67.0	133.0
return	57.0	3.0	73.0	133.0
none	62.0	6.0	65.0	133.0
tackleton	0.0	133.0	0.0	133.0
certainly	58.0	11.0	63.0	132.0
thus	38.0	4.0	90.0	132.0
followed	75.0	1.0	56.0	132.0
talk	57.0	8.0	67.0	132.0
sound	68.0	9.0	54.0	131.0
case	56.0	6.0	69.0	131.0
london	96.0	0.0	35.0	131.0
interest	34.0	6.0	90.0	130.0
till	78.0	9.0	43.0	130.0
fact	23.0	7.0	99.0	129.0
feeling	36.0	1.0	92.0	129.0
breath	59.0	5.0	65.0	129.0
perch	3.0	0.0	126.0	129.0
ready	51.0	6.0	71.0	128.0
saying	38.0	9.0	81.0	128.0
sister	8.0	1.0	119.0	128.0
above	74.0	1.0	53.0	128.0
hold	59.0	10.0	58.0	127.0
grinder	0.0	0.0	127.0	127.0
party	54.0	9.0	63.0	126.0
carrier	1.0	125.0	0.0	126.0
idea	33.0	5.0	88.0	126.0
sense	48.0	4.0	73.0	125.0
thinking	31.0	7.0	87.0	125.0
tone	61.0	4.0	60.0	125.0
solomon	56.0	0.0	67.0	123.0
dinner	29.0	2.0	92.0	123.0
secret	56.0	4.0	63.0	123.0
slowly	56.0	6.0	61.0	123.0
putting	55.0	2.0	66.0	123.0
occasion	24.0	2.0	97.0	123.0
afraid	31.0	7.0	84.0	122.0
edward	105.0	15.0	2.0	122.0
possible	51.0	8.0	63.0	122.0
suppose	54.0	5.0	62.0	121.0
water	47.0	6.0	68.0	121.0
children	26.0	6.0	89.0	121.0
pursued	27.0	6.0	88.0	121.0
bring	53.0	11.0	57.0	121.0
feeder	0.0	0.0	121.0	121.0
body	78.0	5.0	37.0	120.0
ah	51.0	10.0	59.0	120.0
opinion	24.0	6.0	90.0	120.0
power	45.0	9.0	66.0	120.0
attention	34.0	5.0	81.0	120.0
pleasure	37.0	5.0	78.0	120.0
need	49.0	7.0	64.0	120.0
rose	48.0	8.0	64.0	120.0
sleep	60.0	7.0	53.0	120.0
raised	47.0	4.0	69.0	120.0
object	41.0	3.0	76.0	120.0
used	37.0	5.0	78.0	120.0
became	44.0	5.0	70.0	119.0
changed	33.0	10.0	76.0	119.0
george	111.0	1.0	7.0	119.0
glance	32.0	4.0	83.0	119.0
walk	55.0	3.0	60.0	118.0
suddenly	48.0	6.0	64.0	118.0
ned	63.0	0.0	55.0	118.0
others	69.0	1.0	47.0	117.0
maypole	117.0	0.0	0.0	117.0
question	47.0	4.0	66.0	117.0
caleb	0.0	116.0	0.0	116.0
dress	63.0	3.0	50.0	116.0
cannot	38.0	1.0	77.0	116.0
doors	75.0	5.0	36.0	116.0
knows	34.0	3.0	78.0	115.0
carried	61.0	7.0	47.0	115.0
although	54.0	3.0	58.0	115.0
afterwards	47.0	1.0	67.0	115.0
dot	0.0	113.0	1.0	114.0
to-morrow	44.0	4.0	66.0	114.0
parlour	25.0	0.0	89.0	114.0
wonder	51.0	12.0	51.0	114.0
soul	41.0	8.0	65.0	114.0
husband	39.0	15.0	60.0	114.0
feel	37.0	2.0	75.0	114.0
led	51.0	4.0	59.0	114.0
sit	41.0	6.0	67.0	114.0
holding	47.0	5.0	61.0	113.0
beside	59.0	15.0	39.0	113.0
large	67.0	2.0	43.0	112.0
distance	49.0	4.0	58.0	111.0
perfectly	47.0	5.0	59.0	111.0
upstairs	33.0	0.0	78.0	111.0
therefore	38.0	2.0	71.0	111.0
beautiful	21.0	10.0	80.0	111.0
minute	58.0	3.0	50.0	111.0
either	54.0	4.0	52.0	110.0
standing	39.0	5.0	66.0	110.0
ago	47.0	5.0	58.0	110.0
neither	55.0	5.0	50.0	110.0
to-night	70.0	8.0	32.0	110.0
sorry	48.0	13.0	49.0	110.0
looks	55.0	1.0	54.0	110.0
cause	61.0	1.0	48.0	110.0
happened	43.0	6.0	61.0	110.0
natural	36.0	2.0	70.0	108.0
speaking	38.0	7.0	63.0	108.0
doing	34.0	9.0	65.0	108.0
nobody	43.0	4.0	61.0	108.0
deal	37.0	10.0	60.0	107.0
wrong	39.0	11.0	56.0	106.0
ai	2.0	1.0	103.0	106.0
macstinger	0.0	0.0	106.0	106.0
drink	71.0	2.0	32.0	105.0
received	44.0	0.0	61.0	105.0
pride	20.0	5.0	80.0	105.0
position	24.0	1.0	80.0	105.0
given	47.0	4.0	54.0	105.0
struck	46.0	6.0	53.0	105.0
free	51.0	7.0	46.0	104.0
nearly	53.0	10.0	41.0	104.0
common	54.0	2.0	48.0	104.0
legs	47.0	9.0	48.0	104.0
beyond	51.0	5.0	48.0	104.0
comfort	58.0	5.0	41.0	104.0
papa	0.0	0.0	104.0	104.0
toodle	0.0	0.0	104.0	104.0
conversation	43.0	3.0	58.0	104.0
meet	41.0	5.0	58.0	104.0
mama	0.0	0.0	104.0	104.0
gabriel	104.0	0.0	0.0	104.0
feenix	0.0	0.0	104.0	104.0
beg	29.0	3.0	72.0	104.0
wal'r	0.0	0.0	104.0	104.0
heavy	52.0	4.0	47.0	103.0
harriet	0.0	0.0	103.0	103.0
anybody	32.0	2.0	69.0	103.0
whatever	24.0	5.0	74.0	103.0
confidence	24.0	3.0	75.0	102.0
glancing	53.0	3.0	46.0	102.0
bagstock	0.0	0.0	102.0	102.0
instant	62.0	4.0	36.0	102.0
nearer	50.0	6.0	45.0	101.0
waiting	38.0	3.0	60.0	101.0
comes	34.0	2.0	65.0	101.0
noise	72.0	2.0	27.0	101.0
rejoined	76.0	3.0	21.0	100.0
feelings	23.0	3.0	74.0	100.0
shoulder	50.0	6.0	44.0	100.0
red	42.0	9.0	49.0	100.0
early	21.0	2.0	77.0	100.0
spirits	32.0	5.0	63.0	100.0
windows	48.0	1.0	51.0	100.0
cousin	1.0	0.0	98.0	99.0
floy	0.0	0.0	99.0	99.0
spirit	43.0	8.0	48.0	99.0
cast	48.0	2.0	49.0	99.0
account	40.0	6.0	53.0	99.0
married	21.0	17.0	61.0	99.0
circumstances	43.0	2.0	54.0	99.0
hundred	63.0	2.0	34.0	99.0
respect	41.0	2.0	55.0	98.0
inquired	18.0	5.0	75.0	98.0
bless	34.0	9.0	55.0	98.0
during	28.0	4.0	66.0	98.0
country	52.0	1.0	45.0	98.0
reply	29.0	5.0	64.0	98.0
cry	45.0	7.0	46.0	98.0
rising	38.0	2.0	58.0	98.0
creature	37.0	6.0	55.0	98.0
tried	47.0	4.0	47.0	98.0
cleopatra	0.0	0.0	98.0	98.0
use	42.0	7.0	48.0	97.0
walls	57.0	5.0	35.0	97.0
secretary	96.0	0.0	1.0	97.0
church	32.0	5.0	60.0	97.0
quickly	44.0	1.0	52.0	97.0
stop	47.0	2.0	48.0	97.0
showed	23.0	11.0	63.0	97.0
easy	43.0	5.0	49.0	97.0
grip	94.0	1.0	1.0	96.0
except	30.0	3.0	63.0	96.0
presence	34.0	7.0	55.0	96.0
baby	2.0	48.0	46.0	96.0
bunsby	0.0	0.0	96.0	96.0
act	52.0	4.0	40.0	96.0
form	34.0	2.0	60.0	96.0
mouth	38.0	5.0	52.0	95.0
]	0.0	95.0	0.0	95.0
also	18.0	8.0	69.0	95.0
live	38.0	5.0	52.0	95.0
goes	28.0	3.0	64.0	95.0
entered	46.0	6.0	43.0	95.0
pleasant	47.0	11.0	37.0	95.0
