	Maupassant_BelAmi_0	Maupassant_BelAmi_1	Maupassant_BelAmi_2	Maupassant_BelAmi_3	Maupassant_BelAmi_4	Maupassant_BelAmi_5	Maupassant_BelAmi_6	Maupassant_BelAmi_7	Maupassant_BelAmi_8	Maupassant_BelAmi_9	Maupassant_BelAmi_10	Maupassant_BelAmi_11	Maupassant_BelAmi_12	Maupassant_BelAmi_13	Maupassant_BelAmi_14	Maupassant_BelAmi_15	Maupassant_BelAmi_16	Maupassant_BelAmi_17	Maupassant_BelAmi_18	Maupassant_BelAmi_19	Maupassant_BelAmi_20	Maupassant_BelAmi_21	Maupassant_BelAmi_22	Maupassant_BelAmi_23	Maupassant_BelAmi_24	Maupassant_BelAmi_25	Maupassant_BelAmi_26	Maupassant_BelAmi_27	Maupassant_BelAmi_28	Maupassant_BelAmi_sum
Il_NAM_il	4.0	5.0	7.0	6.0	4.0	10.0	8.0	16.0	9.0	11.0	7.0	7.0	15.0	7.0	15.0	9.0	7.0	11.0	7.0	11.0	14.0	14.0	19.0	13.0	10.0	10.0	19.0	11.0	1.0	287.0
cette_PRO:DEM_ce	6.0	13.0	5.0	8.0	5.0	11.0	6.0	13.0	14.0	8.0	6.0	18.0	10.0	12.0	13.0	7.0	10.0	20.0	6.0	17.0	8.0	11.0	6.0	11.0	9.0	5.0	10.0	11.0	2.0	281.0
sans_PRP_sans	5.0	9.0	10.0	11.0	6.0	9.0	12.0	11.0	11.0	13.0	12.0	15.0	2.0	6.0	16.0	12.0	11.0	15.0	3.0	3.0	3.0	12.0	9.0	8.0	12.0	4.0	8.0	4.0	1.0	253.0
femme_NOM_femme	2.0	7.0	8.0	6.0	4.0	7.0	10.0	2.0	6.0	6.0	6.0	7.0	6.0	16.0	8.0	17.0	12.0	16.0	6.0	11.0	11.0	7.0	12.0	14.0	15.0	6.0	9.0	11.0	2.0	250.0
ai_VER:pres_avoir	14.0	4.0	5.0	12.0	17.0	10.0	3.0	14.0	8.0	3.0	10.0	4.0	12.0	6.0	16.0	9.0	7.0	2.0	7.0	10.0	10.0	13.0	8.0	7.0	12.0	11.0	11.0	4.0	0.0	249.0
puis_ADV_puis	10.0	9.0	10.0	8.0	6.0	7.0	13.0	8.0	13.0	2.0	8.0	8.0	11.0	13.0	9.0	17.0	5.0	3.0	6.0	9.0	6.0	7.0	13.0	6.0	8.0	7.0	14.0	3.0	0.0	239.0
Le_DET:ART_le	2.0	9.0	4.0	6.0	15.0	6.0	3.0	1.0	4.0	8.0	8.0	10.0	12.0	14.0	7.0	9.0	15.0	5.0	8.0	5.0	14.0	2.0	6.0	10.0	9.0	29.0	8.0	9.0	1.0	239.0
que_PRO:REL_que	14.0	4.0	2.0	9.0	10.0	2.0	6.0	9.0	4.0	3.0	15.0	6.0	6.0	7.0	21.0	8.0	7.0	9.0	3.0	7.0	14.0	8.0	9.0	4.0	12.0	13.0	10.0	9.0	2.0	233.0
a_VER:pres_avoir	2.0	3.0	4.0	11.0	10.0	8.0	10.0	5.0	5.0	5.0	9.0	11.0	14.0	9.0	2.0	7.0	3.0	10.0	5.0	5.0	9.0	13.0	16.0	18.0	2.0	5.0	22.0	9.0	0.0	232.0
nous_PRO:PER_nous	6.0	4.0	3.0	9.0	9.0	12.0	5.0	12.0	6.0	1.0	5.0	10.0	8.0	3.0	14.0	6.0	11.0	4.0	6.0	1.0	11.0	5.0	21.0	20.0	9.0	10.0	12.0	0.0	0.0	223.0
tu_PRO:PER_tu	13.0	4.0	3.0	12.0	12.0	4.0	1.0	18.0	7.0	0.0	1.0	0.0	17.0	4.0	2.0	7.0	6.0	13.0	4.0	1.0	5.0	29.0	18.0	7.0	8.0	1.0	7.0	19.0	0.0	223.0
ils_PRO:PER_il	11.0	6.0	2.0	3.0	11.0	8.0	12.0	6.0	6.0	6.0	9.0	2.0	7.0	9.0	14.0	18.0	15.0	5.0	6.0	4.0	4.0	8.0	9.0	10.0	10.0	12.0	3.0	5.0	1.0	222.0
la_PRO:PER_la	1.0	5.0	2.0	7.0	5.0	9.0	13.0	9.0	14.0	7.0	5.0	3.0	4.0	7.0	10.0	9.0	5.0	7.0	6.0	14.0	10.0	6.0	8.0	7.0	9.0	5.0	13.0	15.0	5.0	220.0
mais_KON_mais	10.0	9.0	10.0	7.0	6.0	12.0	4.0	11.0	7.0	9.0	12.0	6.0	8.0	8.0	12.0	5.0	4.0	11.0	7.0	9.0	5.0	10.0	5.0	5.0	8.0	2.0	4.0	6.0	0.0	212.0
Et_KON_et	7.0	8.0	11.0	8.0	9.0	5.0	11.0	5.0	5.0	5.0	3.0	9.0	9.0	22.0	6.0	7.0	3.0	3.0	10.0	11.0	4.0	8.0	5.0	6.0	3.0	4.0	10.0	6.0	6.0	209.0
La_DET:ART_le	9.0	4.0	5.0	5.0	13.0	10.0	7.0	2.0	3.0	14.0	6.0	13.0	8.0	11.0	4.0	9.0	12.0	7.0	9.0	7.0	8.0	2.0	3.0	7.0	2.0	7.0	6.0	8.0	1.0	202.0
peu_ADV_peu	12.0	10.0	1.0	5.0	3.0	6.0	7.0	5.0	6.0	7.0	12.0	8.0	7.0	7.0	14.0	9.0	4.0	8.0	9.0	10.0	6.0	9.0	6.0	4.0	6.0	8.0	4.0	7.0	2.0	202.0
Forestier_NAM_forestier	18.0	18.0	10.0	19.0	12.0	15.0	10.0	1.0	5.0	5.0	5.0	0.0	6.0	27.0	7.0	7.0	6.0	13.0	1.0	5.0	3.0	0.0	2.0	0.0	1.0	0.0	3.0	2.0	0.0	201.0
y_PRO:PER_y	3.0	5.0	6.0	9.0	12.0	12.0	11.0	7.0	6.0	4.0	3.0	9.0	5.0	3.0	6.0	7.0	2.0	8.0	4.0	3.0	13.0	8.0	10.0	13.0	9.0	7.0	7.0	4.0	0.0	196.0
c'_PRO:DEM_ce	8.0	2.0	5.0	4.0	7.0	6.0	7.0	7.0	3.0	4.0	9.0	9.0	8.0	9.0	8.0	8.0	4.0	14.0	6.0	15.0	4.0	7.0	8.0	12.0	5.0	0.0	7.0	4.0	2.0	192.0
Mme_NOM_madame	1.0	7.0	12.0	6.0	3.0	11.0	16.0	1.0	12.0	14.0	8.0	0.0	3.0	10.0	7.0	3.0	1.0	7.0	12.0	13.0	5.0	6.0	6.0	3.0	6.0	4.0	6.0	7.0	2.0	192.0
j'_PRO:PER_je	11.0	3.0	3.0	9.0	7.0	6.0	6.0	12.0	4.0	6.0	7.0	2.0	14.0	8.0	13.0	8.0	0.0	3.0	8.0	6.0	13.0	7.0	3.0	8.0	4.0	8.0	5.0	4.0	0.0	188.0
ça_PRO:DEM_cela	5.0	2.0	6.0	11.0	7.0	11.0	6.0	9.0	4.0	1.0	4.0	4.0	15.0	6.0	4.0	13.0	6.0	9.0	3.0	4.0	3.0	9.0	9.0	4.0	9.0	5.0	9.0	6.0	0.0	184.0
faire_VER:infi_faire	7.0	5.0	5.0	6.0	12.0	10.0	4.0	5.0	6.0	11.0	6.0	5.0	3.0	6.0	12.0	7.0	3.0	6.0	2.0	4.0	7.0	6.0	8.0	6.0	0.0	6.0	11.0	8.0	2.0	179.0
Mais_KON_mais	11.0	7.0	5.0	1.0	4.0	3.0	9.0	7.0	7.0	4.0	2.0	4.0	7.0	5.0	9.0	4.0	5.0	9.0	10.0	6.0	4.0	7.0	6.0	5.0	7.0	5.0	13.0	10.0	1.0	177.0
aux_PRP:det_au	5.0	8.0	3.0	5.0	1.0	7.0	8.0	8.0	8.0	13.0	2.0	3.0	6.0	6.0	5.0	7.0	8.0	8.0	5.0	4.0	8.0	5.0	5.0	10.0	6.0	5.0	4.0	11.0	2.0	176.0
m'_PRO:PER_me	3.0	2.0	2.0	12.0	7.0	7.0	3.0	14.0	8.0	2.0	11.0	5.0	6.0	3.0	9.0	4.0	1.0	9.0	5.0	10.0	7.0	9.0	7.0	6.0	7.0	2.0	12.0	3.0	0.0	176.0
autre_ADJ_autre	10.0	7.0	4.0	7.0	8.0	7.0	6.0	5.0	11.0	9.0	5.0	5.0	10.0	7.0	3.0	7.0	4.0	12.0	6.0	4.0	3.0	6.0	5.0	5.0	4.0	10.0	2.0	4.0	0.0	176.0
