	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_35	Zola_Nana_36	Zola_Nana_37	Zola_Nana_38	Zola_Nana_sum
Elle_PRO:PER_elle	5.0	8.0	12.0	19.0	20.0	12.0	9.0	6.0	17.0	10.0	7.0	13.0	7.0	20.0	14.0	11.0	16.0	23.0	6.0	18.0	15.0	21.0	19.0	16.0	13.0	16.0	14.0	18.0	12.0	12.0	8.0	18.0	5.0	17.0	23.0	13.0	9.0	10.0	7.0	519.0
:_PUN_:	15.0	22.0	12.0	14.0	16.0	14.0	12.0	14.0	15.0	11.0	13.0	9.0	12.0	11.0	6.0	8.0	8.0	8.0	9.0	7.0	11.0	9.0	21.0	17.0	19.0	13.0	15.0	13.0	10.0	8.0	11.0	19.0	11.0	13.0	14.0	12.0	17.0	20.0	17.0	506.0
je_PRO:PER_je	12.0	10.0	10.0	13.0	9.0	13.0	19.0	5.0	15.0	10.0	7.0	11.0	4.0	15.0	14.0	9.0	6.0	21.0	10.0	12.0	13.0	11.0	13.0	33.0	20.0	14.0	19.0	17.0	12.0	12.0	14.0	16.0	6.0	4.0	21.0	9.0	12.0	19.0	14.0	504.0
qu'_KON_que	10.0	19.0	16.0	14.0	16.0	11.0	14.0	12.0	17.0	16.0	7.0	8.0	9.0	21.0	18.0	15.0	16.0	16.0	9.0	22.0	12.0	17.0	11.0	15.0	9.0	9.0	6.0	7.0	6.0	20.0	10.0	11.0	9.0	9.0	6.0	16.0	8.0	8.0	9.0	484.0
Et_KON_et	8.0	8.0	11.0	11.0	11.0	8.0	8.0	13.0	9.0	9.0	11.0	13.0	13.0	14.0	10.0	11.0	4.0	16.0	18.0	17.0	12.0	11.0	12.0	14.0	12.0	12.0	13.0	11.0	17.0	18.0	12.0	19.0	11.0	11.0	12.0	9.0	15.0	11.0	9.0	464.0
Mais_KON_mais	13.0	11.0	11.0	12.0	15.0	10.0	11.0	7.0	13.0	12.0	13.0	16.0	11.0	12.0	12.0	10.0	14.0	10.0	14.0	11.0	19.0	13.0	11.0	13.0	12.0	13.0	11.0	10.0	20.0	10.0	11.0	10.0	11.0	13.0	14.0	8.0	7.0	9.0	7.0	460.0
qu'_PRO:REL_que	6.0	8.0	13.0	14.0	11.0	25.0	15.0	16.0	15.0	15.0	8.0	7.0	13.0	19.0	13.0	7.0	8.0	11.0	13.0	8.0	18.0	19.0	18.0	9.0	9.0	10.0	8.0	20.0	6.0	13.0	9.0	11.0	7.0	10.0	11.0	9.0	12.0	10.0	2.0	456.0
en_PRO:PER_en	7.0	5.0	8.0	8.0	15.0	16.0	14.0	9.0	17.0	9.0	10.0	10.0	8.0	13.0	10.0	8.0	13.0	12.0	15.0	13.0	15.0	13.0	10.0	14.0	18.0	7.0	7.0	5.0	10.0	11.0	17.0	14.0	4.0	14.0	9.0	12.0	11.0	10.0	6.0	427.0
ça_PRO:DEM_cela	6.0	9.0	7.0	19.0	7.0	9.0	3.0	13.0	21.0	13.0	6.0	4.0	4.0	15.0	12.0	13.0	5.0	20.0	4.0	9.0	20.0	12.0	9.0	17.0	15.0	7.0	16.0	8.0	6.0	19.0	9.0	15.0	9.0	10.0	17.0	12.0	5.0	11.0	9.0	425.0
la_PRO:PER_la	4.0	5.0	6.0	8.0	7.0	9.0	8.0	5.0	14.0	11.0	8.0	6.0	5.0	14.0	17.0	12.0	9.0	22.0	9.0	20.0	13.0	19.0	11.0	13.0	14.0	11.0	14.0	16.0	6.0	12.0	8.0	12.0	6.0	7.0	20.0	14.0	10.0	15.0	3.0	423.0
cette_PRO:DEM_ce	5.0	4.0	8.0	2.0	6.0	17.0	4.0	7.0	7.0	5.0	11.0	13.0	13.0	10.0	19.0	13.0	5.0	8.0	16.0	7.0	14.0	8.0	10.0	13.0	13.0	10.0	11.0	16.0	12.0	14.0	7.0	20.0	14.0	11.0	13.0	14.0	17.0	11.0	13.0	421.0
tout_ADV_tout	10.0	11.0	9.0	10.0	10.0	9.0	14.0	8.0	9.0	4.0	9.0	6.0	11.0	10.0	11.0	10.0	6.0	7.0	10.0	9.0	7.0	12.0	10.0	12.0	13.0	15.0	5.0	10.0	10.0	9.0	14.0	13.0	8.0	11.0	12.0	12.0	11.0	10.0	3.0	380.0
c'_PRO:DEM_ce	5.0	4.0	6.0	8.0	4.0	4.0	7.0	7.0	8.0	7.0	11.0	6.0	5.0	14.0	9.0	8.0	9.0	15.0	7.0	15.0	12.0	8.0	10.0	10.0	12.0	8.0	13.0	12.0	10.0	11.0	16.0	13.0	12.0	13.0	14.0	16.0	10.0	6.0	7.0	372.0
bien_ADV_bien	5.0	11.0	2.0	10.0	10.0	10.0	4.0	10.0	10.0	9.0	9.0	7.0	5.0	15.0	9.0	9.0	7.0	14.0	6.0	13.0	14.0	11.0	10.0	14.0	11.0	11.0	15.0	11.0	5.0	12.0	10.0	12.0	8.0	5.0	14.0	8.0	6.0	11.0	3.0	366.0
très_ADV_très	9.0	19.0	10.0	4.0	9.0	13.0	6.0	15.0	19.0	3.0	5.0	8.0	11.0	5.0	11.0	16.0	8.0	3.0	6.0	10.0	14.0	3.0	7.0	12.0	11.0	13.0	13.0	8.0	9.0	7.0	9.0	4.0	10.0	10.0	3.0	9.0	3.0	4.0	8.0	347.0
La_DET:ART_le	20.0	23.0	18.0	7.0	4.0	14.0	16.0	6.0	11.0	10.0	10.0	3.0	10.0	11.0	10.0	7.0	5.0	4.0	7.0	11.0	4.0	8.0	6.0	6.0	3.0	5.0	3.0	6.0	16.0	11.0	10.0	5.0	21.0	6.0	3.0	8.0	5.0	7.0	1.0	341.0
