	Mirbeau_AbbeJules_0	Mirbeau_AbbeJules_1	Mirbeau_AbbeJules_2	Mirbeau_AbbeJules_3	Mirbeau_AbbeJules_4	Mirbeau_AbbeJules_5	Mirbeau_AbbeJules_6	Mirbeau_AbbeJules_7	Mirbeau_AbbeJules_8	Mirbeau_AbbeJules_9	Mirbeau_AbbeJules_10	Mirbeau_AbbeJules_11	Mirbeau_AbbeJules_12	Mirbeau_AbbeJules_13	Mirbeau_AbbeJules_14	Mirbeau_AbbeJules_15	Mirbeau_AbbeJules_16	Mirbeau_AbbeJules_17	Mirbeau_AbbeJules_18	Mirbeau_AbbeJules_19	Mirbeau_AbbeJules_sum
que_KON_que	28.0	23.0	29.0	29.0	33.0	14.0	29.0	27.0	28.0	35.0	27.0	30.0	28.0	25.0	31.0	33.0	28.0	23.0	45.0	22.0	567.0
est_VER:pres_être	26.0	20.0	38.0	17.0	19.0	22.0	7.0	28.0	30.0	26.0	28.0	33.0	37.0	23.0	32.0	23.0	44.0	31.0	27.0	30.0	541.0
en_PRP_en	24.0	33.0	23.0	20.0	21.0	33.0	33.0	40.0	21.0	23.0	22.0	22.0	14.0	21.0	36.0	33.0	21.0	22.0	28.0	32.0	522.0
?_SENT_?	24.0	17.0	29.0	9.0	43.0	45.0	14.0	22.0	18.0	24.0	21.0	38.0	37.0	23.0	35.0	44.0	16.0	26.0	22.0	11.0	518.0
je_PRO:PER_je	35.0	11.0	12.0	20.0	26.0	17.0	7.0	18.0	22.0	7.0	26.0	25.0	30.0	16.0	34.0	28.0	52.0	34.0	53.0	31.0	504.0
pas_ADV_pas	25.0	21.0	23.0	15.0	29.0	20.0	18.0	16.0	31.0	15.0	18.0	21.0	31.0	28.0	27.0	21.0	25.0	22.0	25.0	16.0	447.0
son_DET:POS_son	23.0	25.0	23.0	44.0	25.0	25.0	18.0	21.0	21.0	34.0	21.0	16.0	17.0	21.0	20.0	20.0	16.0	20.0	17.0	10.0	437.0
plus_ADV_plus	20.0	14.0	20.0	28.0	22.0	15.0	26.0	23.0	25.0	28.0	19.0	18.0	12.0	23.0	17.0	17.0	20.0	15.0	28.0	9.0	399.0
lui_PRO:PER_lui	18.0	9.0	19.0	22.0	32.0	39.0	23.0	13.0	26.0	33.0	22.0	21.0	19.0	12.0	18.0	11.0	19.0	9.0	20.0	11.0	396.0
Et_KON_et	21.0	12.0	19.0	11.0	20.0	26.0	15.0	21.0	15.0	29.0	23.0	18.0	25.0	15.0	22.0	28.0	16.0	28.0	11.0	19.0	394.0
