	Mirbeau_JardinSupplices_0	Mirbeau_JardinSupplices_1	Mirbeau_JardinSupplices_2	Mirbeau_JardinSupplices_3	Mirbeau_JardinSupplices_4	Mirbeau_JardinSupplices_5	Mirbeau_JardinSupplices_6	Mirbeau_JardinSupplices_7	Mirbeau_JardinSupplices_8	Mirbeau_JardinSupplices_9	Mirbeau_JardinSupplices_10	Mirbeau_JardinSupplices_11	Mirbeau_JardinSupplices_12	Mirbeau_JardinSupplices_13	Mirbeau_JardinSupplices_14	Mirbeau_JardinSupplices_15	Mirbeau_JardinSupplices_16	Mirbeau_JardinSupplices_sum
âme_NOM_âme	2.0	4.0	5.0	1.0	7.0	4.0	5.0	5.0	2.0	0.0	3.0	0.0	3.0	4.0	5.0	3.0	1.0	54.0
avais_VER:impf_avoir	0.0	5.0	1.0	7.0	7.0	2.0	5.0	11.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	53.0
ont_VER:pres_avoir	7.0	5.0	0.0	2.0	2.0	4.0	0.0	0.0	2.0	6.0	6.0	7.0	5.0	3.0	4.0	0.0	0.0	53.0
J'_PRO:PER_je	4.0	4.0	1.0	4.0	4.0	2.0	5.0	4.0	1.0	9.0	2.0	4.0	1.0	3.0	2.0	3.0	0.0	53.0
Il_NAM_il	3.0	8.0	1.0	5.0	4.0	4.0	2.0	3.0	2.0	2.0	1.0	6.0	5.0	1.0	3.0	2.0	0.0	52.0
fois_NOM_fois	5.0	1.0	4.0	5.0	6.0	7.0	4.0	3.0	2.0	3.0	0.0	0.0	1.0	3.0	3.0	4.0	1.0	52.0
petit_ADJ_petit	2.0	1.0	2.0	1.0	1.0	2.0	6.0	7.0	3.0	1.0	2.0	5.0	5.0	6.0	2.0	2.0	3.0	51.0
corps_NOM_corps	1.0	0.0	0.0	0.0	1.0	2.0	3.0	4.0	1.0	8.0	2.0	5.0	4.0	2.0	4.0	10.0	4.0	51.0
quelque_PRO:IND_quelque	5.0	2.0	5.0	3.0	7.0	3.0	4.0	2.0	1.0	1.0	2.0	3.0	5.0	4.0	2.0	1.0	0.0	50.0
ni_KON_ni	5.0	4.0	2.0	2.0	0.0	0.0	4.0	7.0	1.0	2.0	5.0	3.0	4.0	0.0	7.0	1.0	2.0	49.0
été_VER:pper_être	3.0	4.0	2.0	2.0	2.0	1.0	9.0	2.0	1.0	5.0	6.0	5.0	0.0	4.0	2.0	0.0	1.0	49.0
te_PRO:PER_te	0.0	6.0	8.0	9.0	0.0	0.0	4.0	2.0	2.0	5.0	1.0	1.0	5.0	2.0	0.0	3.0	1.0	49.0
nos_DET:POS_notre	7.0	1.0	5.0	0.0	4.0	4.0	4.0	1.0	2.0	4.0	3.0	8.0	4.0	1.0	0.0	1.0	0.0	49.0
même_ADJ_même	3.0	5.0	6.0	0.0	2.0	3.0	3.0	1.0	2.0	6.0	2.0	4.0	3.0	1.0	4.0	3.0	1.0	49.0
temps_NOM_temps	2.0	3.0	3.0	4.0	1.0	1.0	2.0	0.0	4.0	6.0	2.0	4.0	5.0	0.0	3.0	4.0	4.0	48.0
étais_VER:impf_être	2.0	4.0	4.0	4.0	5.0	3.0	6.0	11.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	1.0	48.0
faire_VER:infi_faire	3.0	4.0	6.0	4.0	4.0	3.0	0.0	3.0	2.0	1.0	2.0	3.0	3.0	4.0	1.0	5.0	0.0	48.0
cloche_NOM_cloche	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	7.0	11.0	2.0	5.0	2.0	9.0	7.0	0.0	1.0	48.0
sang_NOM_sang	3.0	4.0	0.0	0.0	0.0	1.0	3.0	1.0	4.0	2.0	7.0	2.0	4.0	9.0	6.0	2.0	0.0	48.0
bouche_NOM_bouche	1.0	2.0	2.0	1.0	1.0	2.0	2.0	5.0	1.0	5.0	3.0	2.0	3.0	0.0	6.0	9.0	2.0	47.0
la_PRO:PER_la	4.0	4.0	1.0	2.0	6.0	2.0	2.0	2.0	2.0	1.0	1.0	0.0	4.0	2.0	7.0	4.0	3.0	47.0
contre_PRP_contre	6.0	2.0	0.0	6.0	1.0	2.0	2.0	0.0	4.0	4.0	0.0	1.0	5.0	2.0	4.0	2.0	6.0	47.0
-même_ADJ_même	2.0	6.0	5.0	6.0	5.0	2.0	4.0	2.0	0.0	0.0	3.0	0.0	3.0	3.0	2.0	1.0	3.0	47.0
L'_DET:ART_le	4.0	3.0	1.0	3.0	0.0	9.0	3.0	1.0	4.0	1.0	4.0	1.0	0.0	1.0	3.0	7.0	1.0	46.0
ici_ADV_ici	0.0	2.0	0.0	2.0	1.0	0.0	1.0	6.0	17.0	3.0	2.0	2.0	0.0	6.0	1.0	3.0	0.0	46.0
avoir_VER:infi_avoir	4.0	1.0	2.0	5.0	4.0	1.0	8.0	2.0	2.0	0.0	4.0	6.0	0.0	4.0	1.0	0.0	1.0	45.0
t'_PRO:PER_te	0.0	11.0	6.0	8.0	1.0	0.0	1.0	2.0	4.0	1.0	2.0	2.0	3.0	3.0	1.0	0.0	0.0	45.0
entre_PRP_entre	1.0	1.0	3.0	3.0	3.0	1.0	2.0	3.0	0.0	2.0	7.0	3.0	4.0	3.0	5.0	2.0	1.0	44.0
lèvres_NOM_lèvre	0.0	0.0	2.0	1.0	2.0	0.0	3.0	4.0	2.0	5.0	0.0	4.0	7.0	1.0	1.0	8.0	4.0	44.0
quand_KON_quand	4.0	2.0	5.0	2.0	2.0	1.0	1.0	4.0	2.0	1.0	2.0	3.0	7.0	2.0	1.0	3.0	2.0	44.0
toi_PRO:PER_toi	0.0	9.0	4.0	4.0	1.0	0.0	4.0	0.0	3.0	2.0	2.0	0.0	8.0	4.0	1.0	0.0	2.0	44.0
quelques_PRO:IND_quelque	2.0	1.0	5.0	3.0	1.0	2.0	3.0	2.0	5.0	1.0	2.0	0.0	3.0	6.0	2.0	4.0	1.0	43.0
bras_NOM_bras	2.0	1.0	0.0	1.0	3.0	3.0	1.0	1.0	5.0	3.0	0.0	1.0	4.0	4.0	8.0	5.0	1.0	43.0
sorte_NOM_sorte	3.0	1.0	3.0	4.0	2.0	2.0	1.0	3.0	2.0	3.0	3.0	2.0	2.0	5.0	1.0	4.0	2.0	43.0
notre_DET:POS_notre	7.0	0.0	5.0	2.0	4.0	5.0	0.0	2.0	1.0	1.0	3.0	4.0	2.0	1.0	1.0	4.0	0.0	42.0
fut_VER:simp_être	3.0	2.0	9.0	3.0	4.0	3.0	0.0	4.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	40.0
mains_NOM_main	1.0	5.0	1.0	0.0	1.0	0.0	4.0	3.0	3.0	3.0	4.0	4.0	0.0	1.0	5.0	4.0	1.0	40.0
jardin_NOM_jardin	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	1.0	7.0	3.0	1.0	5.0	8.0	5.0	1.0	40.0
rien_NOM_rien	3.0	2.0	0.0	3.0	4.0	4.0	8.0	0.0	2.0	3.0	1.0	2.0	5.0	0.0	1.0	0.0	1.0	39.0
coup_NOM_coup	3.0	1.0	5.0	1.0	3.0	4.0	1.0	1.0	4.0	1.0	2.0	2.0	2.0	0.0	6.0	1.0	2.0	39.0
cet_PRO:DEM_ce	3.0	8.0	1.0	5.0	0.0	3.0	5.0	2.0	2.0	1.0	1.0	1.0	3.0	4.0	0.0	0.0	0.0	39.0
femmes_NOM_femme	2.0	7.0	0.0	5.0	5.0	1.0	1.0	3.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	7.0	3.0	39.0
parmi_PRP_parmi	0.0	2.0	2.0	4.0	3.0	2.0	2.0	2.0	4.0	3.0	4.0	3.0	1.0	2.0	3.0	1.0	1.0	39.0
alors_ADV_alors	3.0	1.0	5.0	5.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	0.0	4.0	0.0	39.0
chaque_PRO:IND_chaque	4.0	2.0	0.0	1.0	2.0	2.0	5.0	1.0	2.0	5.0	5.0	0.0	1.0	4.0	2.0	3.0	0.0	39.0
Ah_INT_ah	1.0	1.0	0.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	5.0	7.0	1.0	4.0	1.0	1.0	39.0
moins_ADV_moins	6.0	3.0	3.0	6.0	0.0	3.0	1.0	0.0	0.0	3.0	0.0	2.0	2.0	5.0	2.0	1.0	1.0	38.0
Eugène_NAM_eugène	0.0	0.0	20.0	12.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	38.0
autour_ADV_autour	0.0	0.0	1.0	1.0	2.0	6.0	0.0	2.0	2.0	1.0	4.0	5.0	0.0	3.0	3.0	6.0	2.0	38.0
Tu_PRO:PER_tu	0.0	6.0	0.0	6.0	0.0	0.0	1.0	1.0	2.0	7.0	1.0	3.0	7.0	4.0	0.0	0.0	0.0	38.0
trop_ADV_trop	2.0	1.0	1.0	5.0	2.0	2.0	7.0	3.0	0.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	0.0	38.0
vers_PRP_vers	2.0	2.0	0.0	2.0	3.0	3.0	2.0	2.0	1.0	3.0	2.0	3.0	1.0	3.0	6.0	1.0	2.0	38.0
fit_VER:simp_faire	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	3.0	3.0	1.0	4.0	3.0	2.0	3.0	1.0	0.0	38.0
vite_ADV_vite	1.0	1.0	3.0	2.0	4.0	0.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	0.0	37.0
hommes_NOM_homme	5.0	3.0	3.0	0.0	2.0	3.0	0.0	1.0	1.0	2.0	2.0	2.0	3.0	5.0	4.0	1.0	0.0	37.0
voir_VER:infi_voir	5.0	0.0	2.0	4.0	0.0	0.0	1.0	3.0	2.0	6.0	5.0	3.0	1.0	1.0	2.0	2.0	0.0	37.0
grand_ADJ_grand	2.0	4.0	1.0	0.0	6.0	0.0	4.0	9.0	0.0	1.0	1.0	3.0	2.0	0.0	3.0	0.0	1.0	37.0
dire_VER:infi_dire	6.0	3.0	3.0	2.0	4.0	3.0	5.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0	2.0	2.0	0.0	37.0
ça_PRO:DEM_cela	0.0	2.0	3.0	4.0	0.0	5.0	2.0	3.0	0.0	6.0	0.0	2.0	7.0	0.0	1.0	1.0	0.0	36.0
air_NOM_air	1.0	2.0	1.0	3.0	1.0	1.0	2.0	1.0	6.0	3.0	2.0	5.0	4.0	2.0	1.0	1.0	0.0	36.0
rouge_ADJ_rouge	0.0	1.0	0.0	0.0	1.0	0.0	4.0	5.0	2.0	0.0	3.0	3.0	1.0	6.0	6.0	4.0	0.0	36.0
cœur_NOM_cœur	1.0	0.0	0.0	1.0	0.0	2.0	10.0	3.0	3.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	1.0	36.0
elles_PRO:PER_elle	5.0	4.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	1.0	2.0	9.0	1.0	2.0	3.0	0.0	36.0
soleil_NOM_soleil	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	7.0	2.0	7.0	1.0	2.0	3.0	5.0	0.0	0.0	35.0
Mais_VER:impf_mais	3.0	6.0	0.0	0.0	3.0	3.0	2.0	3.0	2.0	6.0	1.0	1.0	1.0	0.0	4.0	0.0	0.0	35.0
dis_VER:pres_dire	1.0	2.0	2.0	1.0	4.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0	4.0	0.0	4.0	4.0	35.0
tête_NOM_tête	2.0	3.0	0.0	2.0	0.0	3.0	2.0	4.0	1.0	3.0	1.0	2.0	2.0	4.0	1.0	2.0	3.0	35.0
ainsi_ADV_ainsi	3.0	2.0	2.0	3.0	0.0	2.0	4.0	1.0	3.0	1.0	3.0	2.0	0.0	0.0	3.0	4.0	2.0	35.0
faut_VER:pres_falloir	1.0	1.0	3.0	4.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	2.0	2.0	35.0
milady_NOM_milady	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	13.0	0.0	0.0	0.0	0.0	34.0
eau_NOM_eau	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	1.0	14.0	6.0	0.0	34.0
loin_ADV_loin	2.0	1.0	0.0	0.0	1.0	2.0	3.0	5.0	5.0	2.0	2.0	0.0	1.0	4.0	3.0	3.0	0.0	34.0
choses_NOM_chose	3.0	2.0	1.0	2.0	4.0	0.0	2.0	2.0	1.0	1.0	4.0	3.0	5.0	2.0	0.0	2.0	0.0	34.0
On_PRO:PER_on	4.0	2.0	8.0	5.0	1.0	2.0	0.0	0.0	2.0	4.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	34.0
face_NOM_face	1.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	6.0	5.0	1.0	1.0	3.0	5.0	4.0	2.0	34.0
or_NOM_or	1.0	0.0	0.0	0.0	2.0	1.0	3.0	5.0	2.0	3.0	2.0	3.0	2.0	4.0	2.0	4.0	0.0	34.0
vois_VER:pres_voir	0.0	2.0	1.0	1.0	1.0	0.0	5.0	1.0	1.0	5.0	0.0	2.0	1.0	2.0	9.0	3.0	0.0	34.0
joie_NOM_joie	4.0	3.0	0.0	1.0	4.0	3.0	4.0	2.0	1.0	1.0	5.0	0.0	1.0	0.0	2.0	3.0	0.0	34.0
êtes_VER:pres_être	0.0	2.0	0.0	1.0	0.0	1.0	6.0	4.0	3.0	0.0	0.0	0.0	3.0	3.0	0.0	8.0	2.0	33.0
car_KON_car	2.0	2.0	5.0	5.0	1.0	3.0	1.0	0.0	2.0	1.0	2.0	3.0	3.0	2.0	0.0	0.0	1.0	33.0
Non_ADV_non	1.0	2.0	1.0	4.0	3.0	2.0	4.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	0.0	2.0	1.0	33.0
tant_ADV_tant	0.0	1.0	3.0	1.0	1.0	3.0	0.0	8.0	1.0	1.0	6.0	4.0	1.0	2.0	1.0	0.0	0.0	33.0
peau_NOM_peau	0.0	1.0	0.0	1.0	1.0	0.0	2.0	5.0	2.0	4.0	2.0	4.0	0.0	2.0	6.0	2.0	1.0	33.0
mer_NOM_mer	0.0	0.0	0.0	1.0	5.0	6.0	12.0	6.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	33.0
chair_NOM_chair	0.0	2.0	0.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	2.0	2.0	2.0	6.0	2.0	3.0	2.0	33.0
après_PRP_après	2.0	1.0	1.0	1.0	3.0	5.0	5.0	3.0	0.0	1.0	4.0	3.0	2.0	1.0	0.0	1.0	0.0	33.0
cher_ADV_cher	0.0	2.0	0.0	1.0	1.0	1.0	3.0	8.0	5.0	0.0	1.0	3.0	4.0	1.0	1.0	1.0	0.0	32.0
beau_ADJ_beau	3.0	0.0	2.0	0.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	2.0	7.0	0.0	3.0	0.0	0.0	32.0
regard_NOM_regard	1.0	3.0	1.0	4.0	2.0	6.0	2.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	4.0	1.0	1.0	32.0
peine_NOM_peine	1.0	1.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	32.0
Vous_PRO:PER_vous	2.0	1.0	0.0	1.0	2.0	2.0	7.0	5.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	6.0	0.0	32.0
près_ADV_près	0.0	1.0	1.0	3.0	2.0	1.0	2.0	0.0	1.0	2.0	6.0	3.0	2.0	2.0	1.0	2.0	3.0	32.0
seul_ADJ_seul	4.0	2.0	3.0	3.0	0.0	0.0	3.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	1.0	1.0	4.0	32.0
crois_VER:pres_croire	4.0	4.0	1.0	6.0	4.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	3.0	1.0	2.0	0.0	0.0	32.0
petits_ADJ_petit	1.0	0.0	1.0	1.0	2.0	3.0	2.0	3.0	2.0	0.0	3.0	1.0	5.0	1.0	1.0	2.0	4.0	32.0
es_VER:pres_être	0.0	4.0	2.0	5.0	0.0	0.0	1.0	1.0	4.0	2.0	0.0	1.0	9.0	2.0	0.0	0.0	0.0	31.0
fond_NOM_fond	1.0	2.0	0.0	1.0	0.0	0.0	5.0	5.0	2.0	3.0	2.0	2.0	1.0	4.0	1.0	1.0	1.0	31.0
meurtre_NOM_meurtre	25.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	31.0
nature_NOM_nature	1.0	3.0	3.0	1.0	5.0	0.0	3.0	0.0	3.0	0.0	4.0	1.0	2.0	4.0	1.0	0.0	0.0	31.0
presque_ADV_presque	2.0	2.0	0.0	2.0	3.0	0.0	3.0	1.0	4.0	5.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	30.0
vu_VER:pper_voir	0.0	0.0	0.0	4.0	4.0	1.0	0.0	7.0	7.0	0.0	1.0	3.0	0.0	2.0	1.0	0.0	0.0	30.0
heure_NOM_heure	3.0	2.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	3.0	1.0	30.0
rouges_ADJ_rouge	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	4.0	1.0	2.0	4.0	3.0	2.0	3.0	6.0	1.0	30.0
-moi_PRO:PER_moi	0.0	3.0	0.0	2.0	1.0	3.0	1.0	2.0	4.0	2.0	2.0	2.0	0.0	1.0	1.0	4.0	2.0	30.0
jour_NOM_jour	5.0	2.0	5.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	3.0	1.0	0.0	2.0	2.0	1.0	0.0	30.0
devant_PRP_devant	5.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	3.0	3.0	2.0	2.0	2.0	0.0	4.0	0.0	29.0
-là_ADV_là	3.0	1.0	2.0	4.0	1.0	5.0	1.0	1.0	0.0	4.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	29.0
Est_VER:pres_être	1.0	0.0	0.0	1.0	1.0	2.0	5.0	4.0	2.0	2.0	0.0	3.0	4.0	3.0	0.0	0.0	1.0	29.0
point_ADV_point	4.0	1.0	2.0	2.0	3.0	3.0	2.0	0.0	1.0	3.0	0.0	2.0	0.0	2.0	2.0	1.0	1.0	29.0
visage_NOM_visage	2.0	2.0	0.0	1.0	0.0	1.0	1.0	5.0	2.0	2.0	1.0	6.0	1.0	1.0	1.0	2.0	1.0	29.0
odeur_NOM_odeur	0.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	4.0	3.0	3.0	5.0	0.0	3.0	3.0	1.0	0.0	29.0
ciel_NOM_ciel	0.0	0.0	0.0	0.0	1.0	6.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	8.0	1.0	3.0	28.0
fer_NOM_fer	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	5.0	6.0	5.0	2.0	2.0	28.0
maintenant_ADV_maintenant	0.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	2.0	2.0	4.0	4.0	4.0	2.0	2.0	28.0
oui_INT_oui	0.0	2.0	2.0	2.0	2.0	6.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0	3.0	2.0	28.0
soir_NOM_soir	2.0	2.0	2.0	2.0	0.0	2.0	2.0	4.0	2.0	3.0	0.0	0.0	1.0	1.0	3.0	1.0	1.0	28.0
ah_INT_ah	0.0	1.0	2.0	3.0	3.0	2.0	0.0	1.0	2.0	0.0	0.0	2.0	8.0	1.0	0.0	0.0	2.0	27.0
beaucoup_ADV_beaucoup	0.0	1.0	4.0	5.0	2.0	3.0	2.0	0.0	2.0	2.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	27.0
supplice_NOM_supplice	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	8.0	2.0	4.0	3.0	2.0	1.0	27.0
peut_VER:pres_pouvoir	5.0	2.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	0.0	1.0	1.0	27.0
J'_NAM_j'	0.0	1.0	2.0	3.0	1.0	5.0	1.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	27.0
veux_VER:pres_vouloir	2.0	1.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	6.0	5.0	0.0	3.0	0.0	27.0
foule_NOM_foule	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	5.0	2.0	0.0	0.0	4.0	0.0	3.0	0.0	27.0
Une_DET:ART_un	1.0	1.0	4.0	1.0	0.0	2.0	4.0	0.0	2.0	1.0	1.0	2.0	0.0	3.0	4.0	1.0	0.0	27.0
avaient_VER:impf_avoir	0.0	1.0	1.0	2.0	1.0	3.0	0.0	1.0	1.0	3.0	2.0	4.0	0.0	4.0	1.0	1.0	2.0	27.0
main_NOM_main	0.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	4.0	1.0	0.0	1.0	2.0	0.0	2.0	4.0	3.0	26.0
fait_VER:pres_faire	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	0.0	1.0	26.0
Un_DET:ART_un	2.0	0.0	2.0	2.0	1.0	4.0	1.0	2.0	0.0	0.0	2.0	5.0	1.0	1.0	2.0	1.0	0.0	26.0
jeune_ADJ_jeune	2.0	1.0	4.0	2.0	3.0	0.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	0.0	2.0	5.0	0.0	26.0
petites_ADJ_petit	1.0	0.0	0.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	0.0	2.0	0.0	1.0	1.0	3.0	5.0	26.0
ministre_NOM_ministre	0.0	13.0	2.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0
mieux_ADV_mieux	3.0	4.0	6.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	2.0	0.0	26.0
peut-être_ADV_peut-être	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	2.0	3.0	5.0	0.0	0.0	26.0
sommes_VER:pres_sommer|être	2.0	5.0	0.0	1.0	1.0	4.0	5.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	2.0	0.0	26.0
gens_NOM_gens	6.0	0.0	6.0	1.0	1.0	5.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	25.0
eût_VER:subi_avoir	0.0	1.0	4.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	0.0	4.0	0.0	0.0	1.0	1.0	1.0	25.0
Ce_PRO:DEM_ce	0.0	3.0	0.0	0.0	1.0	2.0	1.0	3.0	2.0	4.0	0.0	1.0	1.0	3.0	2.0	1.0	1.0	25.0
Chine_NAM_chine	0.0	0.0	0.0	0.0	4.0	0.0	4.0	5.0	1.0	3.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	25.0
ailleurs_ADV_ailleurs	3.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	25.0
va_VER:pres_aller	1.0	1.0	2.0	0.0	4.0	5.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	4.0	0.0	2.0	25.0
as_VER:pres_avoir	0.0	5.0	1.0	7.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	25.0
Vous_NAM_vous	6.0	1.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	3.0	1.0	25.0
leur_PRO:PER_lui	1.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	0.0	5.0	3.0	0.0	2.0	0.0	6.0	0.0	0.0	24.0
geste_NOM_geste	0.0	3.0	3.0	4.0	1.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	1.0	0.0	3.0	0.0	24.0
silence_NOM_silence	0.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	3.0	2.0	3.0	0.0	24.0
enfin_ADV_enfin	0.0	2.0	1.0	3.0	3.0	2.0	3.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	24.0
Ah_NAM_ah	3.0	2.0	1.0	2.0	4.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	3.0	1.0	1.0	0.0	0.0	24.0
ombre_NOM_ombre	0.0	0.0	2.0	0.0	1.0	0.0	2.0	3.0	0.0	1.0	6.0	2.0	3.0	2.0	1.0	1.0	0.0	24.0
esprit_NOM_esprit	7.0	1.0	1.0	1.0	2.0	2.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	24.0
Au_PRP:det_au	3.0	2.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	24.0
ami_NOM_ami	1.0	5.0	7.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	23.0
désir_NOM_désir	5.0	2.0	0.0	0.0	2.0	2.0	3.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	1.0	0.0	23.0
aime_VER:pres_aimer	1.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	3.0	2.0	1.0	6.0	3.0	0.0	2.0	0.0	23.0
moment_NOM_moment	1.0	4.0	0.0	4.0	2.0	2.0	1.0	0.0	2.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	23.0
travers_NOM_travers	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	3.0	4.0	1.0	1.0	3.0	0.0	3.0	2.0	1.0	23.0
milieu_NOM_milieu	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	23.0
fleuve_NOM_fleuve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	23.0
plaisir_NOM_plaisir	5.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	23.0
voilà_ADV_voilà	0.0	0.0	1.0	3.0	0.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	23.0
faisait_VER:impf_faire	2.0	1.0	2.0	2.0	1.0	0.0	3.0	2.0	4.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	23.0
voudrais_VER:cond_vouloir	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	10.0	1.0	3.0	0.0	0.0	23.0
supplices_NOM_supplice	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	4.0	1.0	1.0	0.0	5.0	2.0	1.0	23.0
vraiment_ADV_vraiment	1.0	1.0	1.0	0.0	3.0	3.0	0.0	4.0	0.0	2.0	0.0	3.0	2.0	1.0	1.0	1.0	0.0	23.0
chéri_NOM_chéri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	2.0	2.0	4.0	1.0	0.0	4.0	23.0
