	FevalPP_ErrantsNuit_0	FevalPP_ErrantsNuit_1	FevalPP_ErrantsNuit_2	FevalPP_ErrantsNuit_3	FevalPP_ErrantsNuit_4	FevalPP_ErrantsNuit_5	FevalPP_ErrantsNuit_6	FevalPP_ErrantsNuit_7	FevalPP_ErrantsNuit_8	FevalPP_ErrantsNuit_9	FevalPP_ErrantsNuit_10	FevalPP_ErrantsNuit_11	FevalPP_ErrantsNuit_12	FevalPP_ErrantsNuit_13	FevalPP_ErrantsNuit_14	FevalPP_ErrantsNuit_15	FevalPP_ErrantsNuit_16	FevalPP_ErrantsNuit_17	FevalPP_ErrantsNuit_18	FevalPP_ErrantsNuit_19	FevalPP_ErrantsNuit_20	FevalPP_ErrantsNuit_21	FevalPP_ErrantsNuit_22	FevalPP_ErrantsNuit_23	FevalPP_ErrantsNuit_24	FevalPP_ErrantsNuit_25	FevalPP_ErrantsNuit_sum
y_PRO:PER_y	11.0	22.0	8.0	10.0	18.0	13.0	15.0	8.0	15.0	9.0	16.0	15.0	14.0	15.0	14.0	11.0	14.0	10.0	12.0	12.0	20.0	13.0	15.0	12.0	17.0	12.0	351.0
a_VER:pres_avoir	11.0	22.0	19.0	9.0	15.0	5.0	14.0	8.0	14.0	8.0	21.0	15.0	14.0	19.0	22.0	7.0	19.0	21.0	13.0	12.0	30.0	4.0	5.0	4.0	8.0	7.0	346.0
on_PRO:PER_on	17.0	10.0	14.0	11.0	18.0	10.0	6.0	12.0	10.0	9.0	26.0	6.0	14.0	10.0	21.0	15.0	8.0	16.0	9.0	12.0	17.0	10.0	10.0	15.0	15.0	7.0	328.0
La_DET:ART_le	20.0	12.0	12.0	25.0	10.0	15.0	10.0	9.0	11.0	7.0	17.0	11.0	20.0	10.0	11.0	10.0	17.0	11.0	13.0	15.0	12.0	9.0	13.0	1.0	12.0	11.0	324.0
C'_PRO:DEM_ce	15.0	14.0	12.0	18.0	6.0	13.0	10.0	25.0	19.0	5.0	13.0	18.0	11.0	13.0	9.0	6.0	9.0	12.0	8.0	9.0	13.0	11.0	8.0	8.0	12.0	5.0	302.0
Guern_NAM_guern	3.0	49.0	33.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	1.0	0.0	5.0	1.0	6.0	3.0	0.0	0.0	1.0	48.0	58.0	6.0	0.0	32.0	16.0	24.0	293.0
le_PRO:PER_le	3.0	7.0	10.0	10.0	11.0	11.0	11.0	14.0	9.0	7.0	18.0	21.0	7.0	9.0	14.0	11.0	14.0	11.0	18.0	14.0	13.0	6.0	9.0	8.0	8.0	9.0	283.0
par_PRP_par	6.0	9.0	5.0	7.0	15.0	9.0	8.0	10.0	14.0	6.0	10.0	12.0	19.0	14.0	12.0	10.0	9.0	11.0	15.0	8.0	11.0	16.0	10.0	10.0	16.0	7.0	279.0
cette_PRO:DEM_ce	9.0	4.0	5.0	11.0	18.0	8.0	6.0	6.0	12.0	14.0	10.0	9.0	13.0	9.0	10.0	17.0	8.0	11.0	12.0	12.0	15.0	17.0	17.0	12.0	9.0	4.0	278.0
qu'_PRO:REL_que	4.0	8.0	11.0	13.0	12.0	8.0	8.0	17.0	13.0	9.0	15.0	12.0	5.0	13.0	6.0	15.0	13.0	13.0	7.0	8.0	11.0	13.0	10.0	12.0	13.0	5.0	274.0
nous_PRO:PER_nous	6.0	8.0	12.0	3.0	7.0	9.0	6.0	3.0	7.0	11.0	5.0	14.0	15.0	17.0	17.0	13.0	3.0	16.0	12.0	25.0	10.0	14.0	2.0	13.0	17.0	9.0	274.0
qu'_KON_que	12.0	14.0	15.0	13.0	15.0	7.0	12.0	7.0	12.0	5.0	7.0	8.0	7.0	11.0	14.0	15.0	12.0	10.0	12.0	8.0	13.0	14.0	7.0	10.0	7.0	5.0	272.0
bien_ADV_bien	15.0	9.0	14.0	10.0	9.0	11.0	2.0	6.0	9.0	10.0	13.0	17.0	8.0	13.0	21.0	8.0	9.0	11.0	10.0	20.0	14.0	9.0	4.0	7.0	8.0	2.0	269.0
tout_ADV_tout	4.0	11.0	13.0	12.0	11.0	9.0	16.0	9.0	7.0	14.0	16.0	8.0	8.0	12.0	11.0	4.0	9.0	7.0	9.0	10.0	15.0	13.0	12.0	10.0	11.0	4.0	265.0
..._PUN_...	9.0	32.0	10.0	7.0	4.0	10.0	17.0	9.0	5.0	6.0	23.0	16.0	5.0	6.0	8.0	4.0	15.0	11.0	13.0	10.0	5.0	4.0	12.0	4.0	11.0	5.0	261.0
Blamont_NAM_blamont	1.0	4.0	3.0	10.0	1.0	8.0	14.0	1.0	0.0	1.0	5.0	1.0	1.0	1.0	21.0	34.0	32.0	14.0	19.0	2.0	2.0	21.0	30.0	9.0	16.0	7.0	258.0
