	France_Thais_0	France_Thais_1	France_Thais_2	France_Thais_3	France_Thais_4	France_Thais_5	France_Thais_6	France_Thais_7	France_Thais_8	France_Thais_9	France_Thais_10	France_Thais_11	France_Thais_12	France_Thais_13	France_Thais_sum
étaient_VER:impf_être	5.0	2.0	5.0	4.0	6.0	3.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	0.0	54.0
corps_NOM_corps	1.0	4.0	1.0	7.0	2.0	4.0	3.0	9.0	2.0	5.0	6.0	7.0	2.0	0.0	53.0
dit_VER:pres_dire	3.0	4.0	6.0	3.0	5.0	8.0	4.0	3.0	6.0	2.0	1.0	6.0	2.0	0.0	53.0
ciel_NOM_ciel	3.0	2.0	2.0	7.0	2.0	4.0	1.0	4.0	2.0	4.0	5.0	5.0	11.0	0.0	52.0
jour_NOM_jour	3.0	6.0	4.0	7.0	8.0	1.0	0.0	3.0	3.0	5.0	3.0	6.0	3.0	0.0	52.0
deux_NUM_deux	6.0	4.0	3.0	5.0	3.0	4.0	7.0	3.0	4.0	3.0	4.0	2.0	2.0	0.0	50.0
voix_NOM_voix	1.0	1.0	4.0	6.0	3.0	1.0	3.0	0.0	1.0	0.0	4.0	18.0	6.0	1.0	49.0
toutes_PRO:IND_tout	1.0	4.0	3.0	2.0	5.0	3.0	8.0	9.0	2.0	2.0	5.0	1.0	4.0	0.0	49.0
Jésus_NAM_jésus	3.0	0.0	0.0	12.0	0.0	6.0	5.0	10.0	0.0	4.0	1.0	5.0	3.0	0.0	49.0
devant_PRP_devant	3.0	2.0	3.0	3.0	8.0	6.0	2.0	3.0	1.0	6.0	5.0	4.0	3.0	0.0	49.0
être_VER:infi_être	2.0	3.0	3.0	1.0	5.0	7.0	11.0	8.0	2.0	1.0	3.0	1.0	1.0	0.0	48.0
car_KON_car	5.0	4.0	3.0	3.0	2.0	4.0	2.0	2.0	10.0	3.0	2.0	2.0	6.0	0.0	48.0
mort_NOM_mort	2.0	0.0	2.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	2.0	7.0	5.0	0.0	48.0
amour_NOM_amour	2.0	4.0	7.0	0.0	7.0	9.0	5.0	0.0	4.0	1.0	0.0	1.0	8.0	0.0	48.0
nuit_NOM_nuit	3.0	4.0	0.0	12.0	5.0	3.0	1.0	3.0	0.0	4.0	5.0	6.0	2.0	0.0	48.0
ou_KON_ou	6.0	10.0	3.0	1.0	6.0	2.0	4.0	1.0	5.0	4.0	4.0	2.0	0.0	0.0	48.0
«_PUN:cit_«	5.0	2.0	2.0	1.0	5.0	9.0	2.0	2.0	1.0	2.0	0.0	1.0	15.0	0.0	47.0
Nicias_NAM_nicias	0.0	4.0	15.0	0.0	3.0	2.0	3.0	6.0	10.0	1.0	0.0	1.0	2.0	0.0	47.0
J'_PRO:PER_je	1.0	6.0	3.0	1.0	1.0	8.0	3.0	3.0	5.0	4.0	1.0	4.0	7.0	0.0	47.0
si_ADV_si	4.0	1.0	2.0	1.0	0.0	8.0	3.0	9.0	2.0	6.0	5.0	4.0	1.0	1.0	47.0
eux_PRO:PER_eux	5.0	1.0	4.0	2.0	1.0	2.0	10.0	4.0	5.0	3.0	4.0	2.0	4.0	0.0	47.0
saint_ADJ_saint	4.0	4.0	5.0	1.0	5.0	4.0	0.0	0.0	0.0	5.0	9.0	4.0	5.0	0.0	46.0
tes_DET:POS_ton	1.0	8.0	2.0	3.0	1.0	6.0	0.0	5.0	4.0	5.0	0.0	4.0	7.0	0.0	46.0
parmi_PRP_parmi	4.0	5.0	5.0	7.0	3.0	2.0	5.0	2.0	4.0	3.0	2.0	0.0	4.0	0.0	46.0
vers_PRP_vers	2.0	1.0	7.0	5.0	3.0	2.0	1.0	7.0	2.0	3.0	7.0	4.0	1.0	0.0	45.0
Seigneur_NAM_seigneur	5.0	7.0	3.0	11.0	0.0	1.0	0.0	0.0	2.0	6.0	3.0	1.0	5.0	1.0	45.0
grand_ADJ_grand	7.0	2.0	3.0	4.0	1.0	4.0	2.0	2.0	4.0	3.0	2.0	7.0	4.0	0.0	45.0
répondit_VER:simp_répondre	1.0	8.0	11.0	1.0	2.0	2.0	3.0	2.0	1.0	1.0	4.0	7.0	2.0	0.0	45.0
L'_DET:ART_le	2.0	4.0	3.0	7.0	2.0	1.0	7.0	2.0	2.0	6.0	2.0	1.0	5.0	0.0	44.0
tout_PRO:IND_tout	3.0	3.0	4.0	7.0	2.0	5.0	5.0	2.0	5.0	0.0	2.0	1.0	4.0	0.0	43.0
jamais_ADV_jamais	3.0	2.0	5.0	0.0	6.0	5.0	2.0	4.0	3.0	2.0	2.0	0.0	8.0	0.0	42.0
ceux_PRO:DEM_celui	6.0	1.0	2.0	5.0	1.0	5.0	2.0	4.0	6.0	4.0	3.0	0.0	3.0	0.0	42.0
cœur_NOM_cœur	3.0	2.0	3.0	4.0	2.0	5.0	1.0	4.0	3.0	8.0	2.0	2.0	2.0	0.0	41.0
ont_VER:pres_avoir	0.0	7.0	2.0	3.0	0.0	4.0	4.0	9.0	3.0	2.0	2.0	1.0	4.0	0.0	41.0
notre_DET:POS_notre	5.0	5.0	2.0	1.0	3.0	2.0	5.0	0.0	5.0	5.0	2.0	4.0	1.0	0.0	40.0
voir_VER:infi_voir	3.0	3.0	7.0	5.0	2.0	4.0	3.0	0.0	0.0	2.0	6.0	2.0	3.0	0.0	40.0
ainsi_ADV_ainsi	2.0	5.0	5.0	3.0	4.0	2.0	0.0	4.0	2.0	4.0	2.0	4.0	3.0	0.0	40.0
elles_PRO:PER_elle	1.0	2.0	7.0	0.0	5.0	1.0	2.0	6.0	1.0	8.0	1.0	1.0	3.0	1.0	39.0
pourquoi_ADV_pourquoi	6.0	6.0	3.0	4.0	4.0	3.0	1.0	0.0	0.0	3.0	3.0	3.0	3.0	0.0	39.0
là_ADV_là	5.0	4.0	0.0	6.0	4.0	3.0	4.0	3.0	4.0	4.0	0.0	1.0	1.0	0.0	39.0
Ce_PRO:DEM_ce	1.0	1.0	3.0	2.0	3.0	5.0	6.0	1.0	3.0	3.0	3.0	3.0	5.0	0.0	39.0
temps_NOM_temps	8.0	2.0	6.0	4.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	0.0	1.0	0.0	39.0
ayant_VER:ppre_avoir	7.0	3.0	3.0	5.0	2.0	1.0	3.0	1.0	2.0	4.0	4.0	2.0	2.0	0.0	39.0
avaient_VER:impf_avoir	4.0	0.0	6.0	4.0	1.0	1.0	2.0	2.0	4.0	4.0	3.0	4.0	2.0	1.0	38.0
main_NOM_main	4.0	1.0	3.0	7.0	1.0	4.0	2.0	2.0	3.0	2.0	2.0	2.0	4.0	1.0	38.0
fut_VER:simp_être	3.0	1.0	4.0	3.0	5.0	1.0	4.0	4.0	2.0	3.0	3.0	4.0	1.0	0.0	38.0
jusqu'_PRP_jusque	7.0	2.0	3.0	2.0	1.0	5.0	1.0	0.0	6.0	1.0	4.0	2.0	3.0	0.0	37.0
ville_NOM_ville	4.0	3.0	3.0	1.0	10.0	1.0	0.0	2.0	3.0	1.0	4.0	4.0	1.0	0.0	37.0
