	Aimard_BanditsArizona_0	Aimard_BanditsArizona_1	Aimard_BanditsArizona_2	Aimard_BanditsArizona_3	Aimard_BanditsArizona_4	Aimard_BanditsArizona_5	Aimard_BanditsArizona_6	Aimard_BanditsArizona_7	Aimard_BanditsArizona_8	Aimard_BanditsArizona_9	Aimard_BanditsArizona_10	Aimard_BanditsArizona_11	Aimard_BanditsArizona_12	Aimard_BanditsArizona_13	Aimard_BanditsArizona_14	Aimard_BanditsArizona_15	Aimard_BanditsArizona_16	Aimard_BanditsArizona_17	Aimard_BanditsArizona_sum
ma_DET:POS_mon	2.0	4.0	5.0	6.0	6.0	3.0	4.0	3.0	6.0	22.0	5.0	1.0	1.0	7.0	2.0	3.0	5.0	22.0	107.0
comme_KON_comme	7.0	13.0	4.0	7.0	7.0	6.0	8.0	6.0	7.0	1.0	7.0	8.0	3.0	7.0	2.0	2.0	7.0	4.0	106.0
José_VER:pper_josé	0.0	0.0	13.0	17.0	19.0	2.0	0.0	3.0	16.0	7.0	9.0	1.0	2.0	1.0	1.0	1.0	7.0	6.0	105.0
très_ADV_très	2.0	12.0	9.0	8.0	8.0	7.0	1.0	8.0	6.0	2.0	5.0	4.0	8.0	5.0	4.0	10.0	2.0	3.0	104.0
Il_PRO:PER_il	4.0	7.0	5.0	6.0	1.0	7.0	9.0	14.0	7.0	3.0	3.0	4.0	5.0	2.0	3.0	8.0	10.0	4.0	102.0
docteur_NOM_docteur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	33.0	12.0	1.0	11.0	10.0	0.0	16.0	4.0	6.0	0.0	102.0
peu_ADV_peu	2.0	10.0	6.0	18.0	4.0	1.0	7.0	5.0	9.0	2.0	6.0	5.0	10.0	2.0	2.0	8.0	2.0	2.0	101.0
être_VER:infi_être	11.0	7.0	8.0	7.0	6.0	3.0	3.0	2.0	7.0	7.0	8.0	3.0	6.0	10.0	5.0	5.0	2.0	1.0	101.0
leurs_DET:POS_leur	2.0	8.0	5.0	4.0	5.0	8.0	1.0	6.0	2.0	4.0	7.0	13.0	6.0	3.0	7.0	12.0	7.0	0.0	100.0
aux_PRP:det_au	7.0	2.0	5.0	7.0	9.0	6.0	6.0	2.0	2.0	10.0	8.0	5.0	6.0	7.0	6.0	4.0	6.0	1.0	99.0
Oui_INT_oui	2.0	4.0	6.0	6.0	4.0	5.0	13.0	11.0	11.0	2.0	1.0	6.0	2.0	13.0	4.0	4.0	3.0	2.0	99.0
tous_PRO:IND_tout	4.0	3.0	4.0	4.0	11.0	2.0	5.0	5.0	2.0	7.0	11.0	7.0	7.0	4.0	3.0	7.0	8.0	3.0	97.0
hommes_NOM_homme	0.0	6.0	3.0	2.0	8.0	7.0	7.0	7.0	7.0	3.0	19.0	10.0	0.0	1.0	7.0	7.0	2.0	1.0	97.0
fait_VER:pper_faire	3.0	5.0	6.0	6.0	4.0	5.0	5.0	9.0	7.0	4.0	7.0	8.0	5.0	8.0	5.0	3.0	4.0	1.0	95.0
