	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
Léocadie_NAM_léocadie	0.0	0.0	29.0	13.0	4.0	1.0	12.0	0.0	4.0	7.0	2.0	7.0	13.0	2.0	94.0
donc_ADV_donc	5.0	7.0	5.0	7.0	9.0	3.0	4.0	10.0	4.0	11.0	8.0	9.0	6.0	3.0	91.0
faire_VER:infi_faire	4.0	2.0	4.0	10.0	3.0	10.0	9.0	3.0	7.0	10.0	13.0	7.0	8.0	1.0	91.0
Elle_PRO:PER_elle	3.0	6.0	4.0	8.0	9.0	10.0	5.0	9.0	8.0	4.0	1.0	5.0	10.0	6.0	88.0
-tu_PRO:PER_tu	4.0	10.0	1.0	14.0	3.0	4.0	2.0	10.0	6.0	5.0	4.0	10.0	7.0	7.0	87.0
Mais_KON_mais	3.0	4.0	5.0	6.0	6.0	7.0	5.0	7.0	9.0	6.0	10.0	5.0	7.0	3.0	83.0
ma_DET:POS_mon	3.0	10.0	7.0	6.0	4.0	11.0	6.0	12.0	7.0	10.0	1.0	4.0	2.0	0.0	83.0
encore_ADV_encore	13.0	8.0	4.0	6.0	6.0	6.0	4.0	9.0	4.0	4.0	5.0	4.0	7.0	3.0	83.0
Aspasie_NAM_aspasie	11.0	39.0	7.0	17.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	82.0
théâtre_NOM_théâtre	7.0	5.0	1.0	4.0	7.0	2.0	13.0	16.0	11.0	1.0	1.0	4.0	5.0	0.0	77.0
soir_NOM_soir	3.0	5.0	6.0	6.0	3.0	5.0	2.0	11.0	12.0	3.0	2.0	8.0	9.0	0.0	75.0
La_DET:ART_le	3.0	2.0	4.0	5.0	4.0	6.0	6.0	7.0	4.0	6.0	7.0	7.0	12.0	1.0	74.0
aux_PRP:det_au	8.0	4.0	6.0	1.0	6.0	4.0	9.0	5.0	3.0	5.0	7.0	10.0	4.0	1.0	73.0
peu_ADV_peu	9.0	1.0	9.0	4.0	4.0	5.0	7.0	5.0	3.0	5.0	7.0	9.0	4.0	0.0	72.0
sans_PRP_sans	5.0	5.0	4.0	2.0	8.0	5.0	9.0	9.0	3.0	3.0	3.0	7.0	2.0	4.0	69.0
Paris_NAM_paris	9.0	2.0	7.0	6.0	7.0	0.0	1.0	6.0	3.0	8.0	0.0	2.0	11.0	5.0	67.0
heures_NOM_heure	1.0	6.0	3.0	5.0	2.0	7.0	5.0	9.0	6.0	3.0	8.0	4.0	5.0	3.0	67.0
répondit_VER:simp_répondre	3.0	4.0	2.0	11.0	3.0	6.0	4.0	8.0	6.0	7.0	4.0	6.0	3.0	0.0	67.0
rue_NOM_rue	8.0	3.0	7.0	3.0	5.0	5.0	4.0	8.0	8.0	7.0	5.0	2.0	1.0	0.0	66.0
jamais_ADV_jamais	6.0	5.0	5.0	6.0	5.0	3.0	11.0	4.0	2.0	4.0	6.0	6.0	2.0	1.0	66.0
À_PRP_à	5.0	4.0	6.0	5.0	3.0	3.0	5.0	8.0	2.0	2.0	6.0	8.0	6.0	2.0	65.0
ou_KON_ou	2.0	6.0	7.0	8.0	7.0	4.0	3.0	3.0	3.0	7.0	5.0	5.0	4.0	1.0	65.0
fait_VER:pper_faire	5.0	2.0	5.0	1.0	7.0	5.0	6.0	5.0	7.0	5.0	2.0	7.0	5.0	2.0	64.0
chez_PRP_chez	3.0	5.0	10.0	2.0	6.0	10.0	2.0	7.0	4.0	4.0	5.0	2.0	0.0	4.0	64.0
mille_NUM_mille	7.0	8.0	6.0	9.0	3.0	3.0	5.0	2.0	1.0	7.0	3.0	3.0	4.0	3.0	64.0
aime_VER:pres_aimer	2.0	15.0	4.0	10.0	3.0	3.0	3.0	1.0	5.0	3.0	1.0	3.0	7.0	3.0	63.0
la_PRO:PER_la	4.0	5.0	6.0	5.0	6.0	3.0	5.0	3.0	8.0	3.0	2.0	4.0	5.0	4.0	63.0
comme_ADV_comme	6.0	8.0	5.0	5.0	4.0	7.0	5.0	7.0	2.0	2.0	3.0	3.0	3.0	1.0	61.0
dit-il_NOM_dit-il	0.0	2.0	11.0	4.0	6.0	4.0	0.0	8.0	4.0	2.0	8.0	4.0	1.0	6.0	60.0
ils_PRO:PER_il	5.0	6.0	1.0	12.0	1.0	5.0	9.0	3.0	5.0	2.0	1.0	4.0	6.0	0.0	60.0
êtes_VER:pres_être	1.0	4.0	6.0	1.0	3.0	4.0	7.0	2.0	5.0	10.0	3.0	9.0	3.0	2.0	60.0
ces_PRO:DEM_ce	2.0	1.0	4.0	5.0	16.0	5.0	3.0	1.0	6.0	4.0	1.0	7.0	5.0	0.0	60.0
main_NOM_main	1.0	3.0	7.0	2.0	7.0	6.0	9.0	4.0	5.0	4.0	2.0	3.0	4.0	1.0	58.0
francs_NOM_franc	5.0	7.0	6.0	7.0	3.0	1.0	5.0	0.0	0.0	5.0	11.0	3.0	4.0	1.0	58.0
maison_NOM_maison	10.0	6.0	6.0	1.0	5.0	2.0	1.0	4.0	3.0	6.0	0.0	3.0	6.0	5.0	58.0
veux_VER:pres_vouloir	6.0	7.0	5.0	10.0	6.0	2.0	1.0	1.0	2.0	5.0	1.0	4.0	4.0	1.0	55.0
avez_VER:pres_avoir	2.0	5.0	4.0	1.0	4.0	4.0	9.0	5.0	4.0	2.0	2.0	5.0	5.0	3.0	55.0
votre_DET:POS_votre	3.0	9.0	7.0	0.0	7.0	7.0	4.0	2.0	5.0	0.0	5.0	4.0	1.0	1.0	55.0
Mais_VER:impf_mais	6.0	5.0	1.0	8.0	5.0	4.0	1.0	7.0	4.0	6.0	1.0	4.0	1.0	1.0	54.0
t'_PRO:PER_te	6.0	8.0	1.0	3.0	1.0	6.0	3.0	3.0	3.0	10.0	3.0	2.0	0.0	5.0	54.0
