ein	ART	eine
mutmaßlich	ADJD	mutmaßlich
aus	APPR	aus
einem	ART	eine
alten	ADJA	alt
märkischen	ADJA	märkisch
Herrenhause	NN	Herrenhause
herstammender	VVFIN	herstammender
,	$,	,
ganz	ADV	ganz
vor	APPR	vor
kurzem	ADJA	kurz
erst	ADV	erst
auf	APPR	auf
einer	ART	eine
Auktion	NN	Auktion
erstandener	ADJA	erstandener
,	$,	,
weißlackierter	ADJA	weißlackierter
Pfeilerspiegel	NN	Pfeilerspiegel
mit	APPR	mit
eingelegter	ADJA	eingelegt
Goldleiste	NN	Goldleiste
lieh	VVFIN	leihen
der	ART	die
ärmlichen	ADJA	ärmlich
Einrichtung	NN	Einrichtung
trotz	APPR	trotz
ihres	PPOSAT	ihr
Zusammengesuchtseins	NN	Zusammengesuchtseins
oder	KON	oder
vielleicht	ADV	vielleicht
auch	ADV	auch
um	APPR	um
dessen	PDAT	die
willen	APPO	willen
etwas	ADV	etwas
von	APPR	von
einer	ART	eine
erlöschenden	ADJA	erlöschenden
,	$,	,
aber	KON	aber
doch	ADV	doch
immerhin	ADV	immerhin
mal	ADV	mal
dagewesenen	ADJA	dagewesen
Feudalität	NN	Feudalität
.	$.	.
Über	APPR	über
dem	ART	die
Sofa	NN	Sofa
derselben	PDAT	dieselb
»	QUO	»
guten	ADJA	gut
Stube	NN	Stube
«	QUO	«
hing	VVFIN	hängen
ein	ART	eine
großes	ADJA	groß
Ölbildnis	NN	Ölbildnis
(	$(	(
Kniestück	NN	Kniestück
)	$(	)
des	ART	die
Rittmeisters	NN	Rittmeister
von	APPR	von
Poggenpuhl	NN	Poggenpuhl
vom	APPRART	von+die
Sohrschen	ADJA	Sohrschen
Husarenregiment	NN	Husarenregiment
,	$,	,
der	PRELS	die
1813	CARD	@card@
bei	APPR	bei
Großgörschen	NN	Großgörschen
ein	ART	eine
Carré	NN	Carré
gesprengt	VVPP	sprengen
und	KON	und
dafür	PAV	dafür
den	ART	die
Pour	NE	Pour
le	VVFIN	le
mérite	ADJD	mérite
erhalten	VVPP	erhalten
hatte	VAFIN	haben
–	$(	-
der	ART	die
einzige	ADJA	einzig
Poggenpuhl	NN	Poggenpuhl
,	$,	,
der	PRELS	die
je	ADV	je
in	APPR	in
der	ART	die
Kavallerie	NN	Kavallerie
gestanden	VVPP	gestehen|stehen
.	$.	.
Das	ART	die
halb	ADJD	halb
wohlwollende	ADJA	wohlwollend
,	$,	,
halb	ADJD	halb
martialische	ADJA	martialisch
Gesicht	NN	Gesicht
des	ART	die
Rittmeisters	NN	Rittmeister
sah	VVFIN	sehen
auf	APPR	auf
eine	ART	eine
flache	ADJA	flach
Glasschale	NN	Glasschale
hernieder	ADV	hernieder
,	$,	,
drin	ADV	drin
im	APPRART	in+die
Sommer	NN	Sommer
Aurikeln	NN	Aurikeln
und	KON	und
ein	ART	eine
Vergißmeinnichtkranz	NN	Vergißmeinnichtkranz
,	$,	,
im	APPRART	in+die
Winter	NN	Winter
Visitenkarten	NN	Visitenkarte
zu	PTKZU	zu
liegen	VVINF	liegen
pflegten	VVFIN	pflegen
.	$.	.
An	APPR	an
der	ART	die
andern	ADJA	andere
Wand	NN	Wand
aber	ADV	aber
,	$,	,
genau	ADJD	genau
dem	ART	die
Rittmeister	NN	Rittmeister
gegenüber	PTKVZ	gegenüber
,	$,	,
stand	VVFIN	stehen
ein	ART	eine
Schreibtisch	NN	Schreibtisch
mit	APPR	mit
einem	ART	eine
kleinen	ADJA	klein
erhöhten	ADJA	erhöht
Mittelbau	NN	Mittelbau
,	$,	,
drauf	PAV	drauf
,	$,	,
um	KOUI	um
bei	APPR	bei
Besuchen	NN	Besuch|Besuchen
eine	ART	eine
Art	NN	Art
Gastlichkeit	NN	Gastlichkeit
üben	VVINF	üben
zu	PTKZU	zu
können	VMINF	können
,	$,	,
eine	ART	eine
halbe	ADJA	halb
Flasche	NN	Flasche
Kapwein	NN	Kapwein
mit	APPR	mit
Liqueurgläschen	NN	Liqueurgläschen
thronte	VVFIN	thronen
,	$,	,
beides	PIS	beide
,	$,	,
Flasche	NN	Flasche
wie	KOKOM	wie
Gläschen	NN	Gläschen
,	$,	,
auf	APPR	auf
einem	ART	eine
goldgeränderten	ADJA	goldgeränderten
Teller	NN	Teller
,	$,	,
der	PRELS	die
beständig	ADJD	beständig
klapperte	VVFIN	klappern
.	$.	.
Neben	APPR	neben
dieser	PDAT	dies
»	QUO	»
guten	ADJA	gut
Stube	NN	Stube
«	QUO	«
lag	VVFIN	liegen
die	ART	die
einfensterige	ADJA	einfensterige
Wohnstube	NN	Wohnstube
,	$,	,
daran	PAV	daran
sich	PRF	sich
nach	APPR	nach
hinten	ADV	hinten
zu	APPR	zu
das	ART	die
sogenannte	ADJA	sogenannt
»	QUO	»
Berliner	ADJA	Berliner
Zimmer	NN	Zimmer
«	QUO	«
anschloß	VVFIN	anschließen
,	$,	,
ein	ART	eine
bloßer	ADJA	bloß
Durchgang	NN	Durchgang
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
im	APPRART	in+die
übrigen	ADJA	übrig
geräumig	ADJD	geräumig
,	$,	,
an	APPR	an
dessen	PRELAT	die
Längswand	NN	Längswand
drei	CARD	drei
Betten	NN	Bett|Betten
standen	VVFIN	stehen
,	$,	,
nur	ADV	nur
drei	CARD	drei
,	$,	,
trotzdem	KOUS	trotzdem
es	PPER	es
eine	ART	eine
viergliedrige	ADJA	viergliedrig
Familie	NN	Familie
war	VAFIN	sein
.	$.	.
Die	ART	die
vierte	ADJA	viert
Lagerstätte	NN	Lagerstätte
,	$,	,
von	APPR	von
mehr	PIAT	mehr
ambulantem	ADJA	ambulant
Charakter	NN	Charakter
,	$,	,
war	VAFIN	sein
ein	ART	eine
mit	APPR	mit
Rohr	NN	Rohr
überflochtenes	ADJA	überflochtenes
Sofagestell	NN	Sofagestell
,	$,	,
drauf	PAV	drauf
sich	PRF	sich
,	$,	,
wochenweis	ADJD	wochenweis
wechselnd	ADJD	wechselnd
,	$,	,
eine	PIS	eine
der	ART	die
zwei	CARD	zwei
jüngeren	ADJA	jung
Schwestern	NN	Schwester
einzurichten	VVIZU	einrichten
hatte	VAFIN	haben
.	$.	.
Hinter	APPR	hinter
diesem	PDAT	dies
»	QUO	»
Berliner	ADJA	Berliner
Saal	NN	Saal
«	QUO	«
(	$(	(
Nottebohm	NN	Nottebohm
selbst	ADV	selbst
hatte	VAFIN	haben
den	ART	die
Grundriß	NN	Grundriss
dazu	PAV	dazu
entworfen	VVPP	entwerfen
)	$(	)
lag	VVFIN	liegen
die	ART	die
Küche	NN	Küche
mitsamt	APPR	mitsamt
dem	ART	die
Hängeboden	NN	Hängeboden
.	$.	.
Hier	ADV	hier
hauste	VVFIN	hausen
das	ART	die
alte	ADJA	alt
Dienstmädchen	NN	Dienstmädchen
Friederike	NE	Friederike
,	$,	,
eine	ART	eine
treue	ADJA	treu
Seele	NN	Seele
,	$,	,
die	PRELS	die
noch	ADV	noch
den	ART	die
gnädigen	ADJA	gnädig
Herrn	NN	Herr
gekannt	VVPP	kennen
und	KON	und
als	KOKOM	als
Vertraute	NN	Vertraute
der	ART	die
Frau	NN	Frau
Majorin	NN	Majorin
alles	PIAT	alle
Glück	NN	Glück
und	KON	und
Unglück	NN	Unglück
des	ART	die
Hauses	NN	Haus
und	KON	und
zuletzt	ADV	zuletzt
auch	ADV	auch
die	ART	die
Übersiedelung	NN	Übersiedelung
von	APPR	von
Stargard	NE	Stargard
nach	APPR	nach
Berlin	NE	Berlin
mit	PTKVZ	mit
durchgemacht	VVPP	durchmachen
hatte	VAFIN	haben
.	$.	.
So	ADV	so
wohnten	VVFIN	wohnen
die	ART	die
Poggenpuhls	NN	Poggenpuhls
und	KON	und
gaben	VVFIN	geben
der	ART	die
Welt	NN	Welt
den	ART	die
Beweis	NN	Beweis
,	$,	,
daß	KOUS	dass
man	PIS	man
auch	ADV	auch
in	APPR	in
ganz	ADV	ganz
kleinen	ADJA	klein
Verhältnissen	NN	Verhältnis
,	$,	,
wenn	KOUS	wenn
man	PIS	man
nur	ADV	nur
die	ART	die
rechte	ADJA	recht|rechts
Gesinnung	NN	Gesinnung
und	KON	und
dann	ADV	dann
freilich	ADV	freilich
auch	ADV	auch
die	ART	die
nötige	ADJA	nötig
Geschicklichkeit	NN	Geschicklichkeit
mitbringe	VVFIN	mitbringen
,	$,	,
zufrieden	ADJD	zufrieden
und	KON	und
beinahe	ADV	beinahe
standesgemäß	ADJD	standesgemäß
leben	VVINF	leben
könne	VMFIN	können
,	$,	,
was	PRELS	was
selbst	ADV	selbst
von	APPR	von
Portier	NN	Portier
