"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"d" 0.00548930272132182 0.114195361911455 0.00506552619962515 0.0125259652821996 1.4606816072139 0.00374809081624048 0.0163969370521587 0.00547895169390923 0.0124333649348025 1.26061400183295 0.00173265182361604 0.00628305146866328 1.23313480547544 1.20461855881486 0.021551177708476 0.013408558786216 0.995986323769883 0.00164828825264962 0.00709320470988793 0.00201154627562207 0.00780957141072098 0.0139203754524122 1.36322648938375 1.57321528948848
"sur" 0.507760501722269 0.468859803232607 0.463857470565675 0.477726398123889 0.574194403925209 0.872368137479971 0.526341679374293 0.542416217697014 0.362121753726124 0.36843054476928 0.332669150134281 0.346615006021258 0.476824030502451 0.544641369676932 0.513425115996045 0.509525233876208 0.271294782220901 0.359326839077618 0.329834019009789 0.28161647858709 0.51386979882544 0.554163518010314 0.445820988311201 0.413153456998314
"on" 0.312890255115344 0.194351721714687 0.408136682369798 0.339244893059571 0.539053175971357 0.70745214156539 0.298424254349288 0.255684412382431 0.528418009729108 0.457133603000445 0.369921164342025 0.381171789098906 0.552722986668572 0.515166660259121 0.360031439365128 0.296019720895692 0.520291363163371 0.442565395836424 0.96644914172223 0.834791704383159 0.3498687992003 0.241949382863355 0.728099604025831 0.495362563237774
"plus" 0.522856084205904 0.494114546732256 0.352415894173921 0.35142291486171 0.43495557618353 0.459141124989458 0.424680669650909 0.399963473655374 0.531526350962809 0.49946078846345 0.46868231828814 0.469134509660192 0.368779634077738 0.486973459946433 0.509621966988667 0.582756593400926 0.310316634458154 0.319767921014027 0.507164136756987 0.57329068855229 0.595089341496939 0.471967015338928 0.395974169266356 0.421585160202361
"mais" 0.48031398811566 0.345880182712579 0.469646643365246 0.398395284669958 0.337488396764355 0.307343446931719 0.546018003836883 0.367089763491919 0.46236575851297 0.50424560073318 0.598631205059343 0.589559662809571 0.449143234724219 0.474158368895211 0.304251920590249 0.259919754932803 0.713542440909767 0.618932238869934 0.461058306142715 0.46667873594432 0.432650256153942 0.489201765899057 0.35788895920962 0.359050028105677
"dire" 0.795948894591665 0.412860154602952 0.530432957760748 0.469375754602422 0.373292666755072 0.15554576887398 0.532900454195156 0.343347639484979 0.398644763222107 0.416646729948876 0.492939443818765 0.367558510916802 0.379494780830602 0.281932003126882 0.327070814634517 0.30323971408827 0.966255388731976 1.16121907399166 0.514257341466875 0.595417697584133 0.256153942271648 0.354638136525739 0.285639075425518 0.259274873524452
"mon" 0.710864702411176 0.590741391426564 0.655623819551484 0.725810099407452 0.160456172921363 0.0590324303557875 1.24452752225884 0.586247831248288 0.41418646939061 0.35738867030067 0.450489474140172 0.292161893292843 0.303595824664482 0.192226365768329 0.953322684516113 0.396068197992842 0.616916902036569 0.384875306993687 0.361753440204284 0.720133566672701 0.0968386854929401 0.471967015338928 0.0845715693906926 0.195334457560427
"me" 0.621663533189697 0.415056219255095 0.549247769359356 0.498950950407616 0.102108473677231 0.106820588262854 1.6019807499959 0.429184549356223 0.543959715897611 0.277519111644393 0.561379190851598 0.483794963087073 0.27145038440589 0.0909871464636756 0.624984153545803 0.495085247491052 0.356771220454883 0.45904827836292 0.21456944247411 0.533059763039849 0.123391228289391 0.694693022577523 0.0750502668765087 0.129286115795391
"par" 0.369155608008893 0.433722768798313 0.323470030176063 0.300275223292728 0.482031560800955 0.689648710188248 0.364012002557922 0.491279335220528 0.270425687331955 0.316165672284527 0.436628259551243 0.392690716791455 0.450929092516363 0.502351569207899 0.371440886387262 0.442482439945128 0.276869332540508 0.276088282318812 0.432685487303164 0.366101422163217 0.473260027489691 0.550849142902597 0.408295854872947 0.364671163575042
"comme" 0.266231181984108 0.242665144061841 0.423333260968673 0.424838989154602 0.489325023206471 0.588450258149755 0.362372308852706 0.399963473655374 0.330261256080693 0.312485047461657 0.340466083340553 0.31938844965705 0.522363404202123 0.62537644329963 0.344818843335615 0.359968232029953 0.427382191169912 0.317295488635053 0.386579656688892 0.494840383803029 0.215544170935899 0.243275132906442 0.332125434759475 0.359752670039348
"avec" 0.594217019583087 0.701642656359803 0.291629579778419 0.340288723499755 0.426999071741148 0.517236532641186 0.462393624870874 0.350652908410191 0.231571421910697 0.246969925614572 0.401108897167114 0.336143253573486 0.550044199980356 0.378045186011047 0.390456631424153 0.331088259259641 0.43295674148952 0.366744136214541 0.255355369555965 0.374147607265705 0.273334999375234 0.284373384242135 0.373571104527099 0.394884766722878
"si" 0.296422346951378 0.253645467322558 0.368336119372743 0.309669697254378 0.198249569022676 0.178971336475483 0.362372308852706 0.250205460688522 0.41729481062431 0.420695417254033 0.516330243437581 0.457615581967642 0.234840299666938 0.267835402970538 0.275094444867017 0.30014543129145 0.367920321094098 0.296691885476932 0.418499077883388 0.484782652424919 0.306135199300262 0.247252383035702 0.34220681389214 0.358347386172007
